name,total_pop,total_households,has_computer,has_internet,has_broadband,median_income,percent_poverty,total_hispanic,total_black
Albany Park,49806,16909,89.32521142586788,79.76817079661718,79.70311668342302,66818.0,12.1,44.97249327390274,4.941171746375939
"Archer Heights,",13726,3919,81.83210002551672,73.64123500893085,73.64123500893085,48629.0,10.1,77.41512458108699,0.9543931225411627
Armour Square,13538,5396,75.31504818383988,68.29132690882135,68.08747220163085,33333.0,25.8,4.321170039887724,8.383808538927463
Ashburn,43356,13124,90.26973483693995,79.61749466626028,79.56415726912527,69261.0,8.75,41.327613248454654,45.87139034966326
Auburn Gresham,45909,17161,79.97202960200454,60.56756599265777,59.96736786900531,35568.0,23.6,2.18040035722843,95.38652551787231
Austin,93727,32660,77.96387017758725,64.63563992651562,64.5529699938763,33700.5,20.049999999999997,15.057560788246715,77.76414480352514
Avalon Park,9713,4007,75.41801846768156,70.87596705764912,70.50162216121787,46206.5,15.55,0.0926593225573973,96.58190054566046
Avondale,38118,13639,90.39519026321578,80.71706136813549,80.02786128015251,64584.0,10.55,56.3277191877853,2.08562883677003
Belmont Cragin,78601,22476,85.38885922762057,72.74870973482827,72.48620751023313,53021.0,12.6,81.17708426101449,2.374015597765932
Beverly,19791,7481,96.04330971795214,89.15920331506483,89.02553134607672,111667.0,1.7,4.941640139457329,34.2276792481431
Bridgeport,34540,12994,88.30998922579653,83.87717408034477,83.6924734492843,58381.0,10.55,21.88187608569774,3.00810654313839
Brighton Park,44156,12581,83.18893569668548,75.82863047452508,75.44710277402432,44717.0,19.2,80.89500860585198,1.198025183440529
Burnside,2006,888,62.72522522522522,53.71621621621622,52.25225225225225,28864.0,7.5,1.9441674975074776,96.26121635094715
Calumet Heights,12815,5319,83.75634517766497,80.33464937018236,79.56382778717804,47059.0,8.6,3.722200546234881,94.07725321888411
Chatham,30967,13907,81.23966347882362,66.78651039045084,66.71460415618034,33921.0,22.5,0.8460619369005715,95.66635450641004
Chicago Lawn,51352,16368,80.27248289345064,69.15322580645162,69.02492668621701,34230.0,24.6,51.56761177753544,43.18624396323415
Clearing,24976,8837,84.75727056693448,79.69899287088379,79.15582211157633,56250.0,9.9,54.05989750160154,2.2701793721973096
