,estimated total population,estimated total with internet subscription,estimated total with no internet access,estimated total has no computer,state,county,tract
0,1825,392,149,149,17,031,630200
1,5908,1242,231,133,17,031,580700
2,3419,928,140,104,17,031,590600
3,2835,917,138,81,17,031,600700
4,1639,322,245,218,17,031,611900
5,3445,1326,153,27,17,031,804505
6,6122,2080,351,172,17,031,804701
7,2441,736,19,8,17,031,804706
8,5749,1801,147,120,17,031,824005
9,4728,1460,68,60,17,031,824006
10,7070,2139,110,64,17,031,824113
11,5186,1799,74,58,17,031,824114
12,4053,1207,156,148,17,031,824115
13,5373,1844,219,122,17,031,824116
14,9453,3251,111,93,17,031,824117
15,5655,1940,124,136,17,031,824119
16,8970,3142,236,207,17,031,824120
17,3153,1093,103,82,17,031,824121
18,6526,2231,94,169,17,031,824122
19,7348,2505,296,236,17,031,824123
20,4010,1302,204,143,17,031,825303
21,4338,1486,82,61,17,031,825304
22,4924,1300,283,163,17,031,830007
23,4400,1228,154,141,17,031,830008
24,3901,723,360,250,17,031,830500
25,4733,1607,330,164,17,031,830600
26,3814,1341,311,246,17,031,830700
27,2522,1289,59,19,17,031,830800
28,2993,1188,44,36,17,031,830900
29,2177,1006,29,22,17,031,831000
30,8537,2198,492,271,17,031,831100
31,5841,1755,68,57,17,031,811900
32,2730,537,155,148,17,031,191000
33,4470,1378,81,58,17,031,805600
34,7182,2104,504,443,17,031,806004
35,5444,1548,103,19,17,031,802002
36,6610,1800,179,133,17,031,802504
37,4763,1483,332,217,17,031,802702
38,4583,1463,147,114,17,031,803008
39,5310,1869,206,159,17,031,803200
40,5765,1837,380,326,17,031,803500
41,7263,2477,17,17,17,031,804102
42,6364,2224,245,208,17,031,824505
43,3488,740,334,291,17,031,825900
44,2923,589,247,102,17,031,826000
45,5786,1766,299,297,17,031,826100
46,2848,903,265,185,17,031,826304
47,3517,1593,32,71,17,031,242300
48,4520,1742,344,70,17,031,760801
49,2302,649,188,108,17,031,490300
50,2777,728,174,100,17,031,490700
51,3136,1227,224,170,17,031,500100
52,4515,1041,259,241,17,031,520400
53,5076,1262,208,149,17,031,820902
54,4787,1369,278,246,17,031,821001
55,5404,1493,219,198,17,031,821002
56,3965,1075,126,109,17,031,822200
