,estimated total households,estimated total households with a computer,estimated total households with broadband internet subscription,estimated total households median household income,percent estimated percent of families and people whose income in the past 12 months is below poverty level,estimated total population hispanic or latino (of any race),estimated total population Black or African American alone (non-Hispanic),percent estimated unemployment,estimated total population White (non-Hispanic),estimated total population Asian (non-Hispanic),state,county,tract
0,575,426,392,37422,25.7,1622,0,11.7,125,78,17,031,630200
1,1544,1411,1242,47000,17.4,4742,161,13.1,423,522,17,031,580700
2,1172,1068,917,46033,7.9,2119,9,8.1,757,431,17,031,590600
3,1084,1003,917,45294,17.0,850,82,11.8,1001,857,17,031,600700
4,574,356,322,24507,55.0,438,1175,21.1,26,0,17,031,611900
5,1517,1490,1326,71438,9.0,565,178,0.6,2368,236,17,031,804505
6,2461,2289,2080,69472,3.7,1632,616,5.0,2226,1501,17,031,804701
7,760,752,736,115500,0.7,390,22,1.8,1568,339,17,031,804706
8,2027,1907,1801,112125,2.1,298,23,2.2,5215,117,17,031,824005
9,1528,1468,1460,129667,5.5,208,37,3.0,4279,172,17,031,824006
10,2347,2283,2122,97365,7.7,826,146,5.0,5588,349,17,031,824113
11,1897,1839,1799,108933,4.3,167,251,3.3,4360,348,17,031,824114
12,1400,1252,1200,74318,4.0,332,343,1.9,3202,167,17,031,824115
13,2202,2080,1844,68125,10.0,648,588,4.5,3837,237,17,031,824116
14,3379,3286,3251,102696,0.8,565,80,4.6,7552,1165,17,031,824117
15,2091,1955,1927,106607,2.5,373,58,4.2,4793,392,17,031,824119
16,3409,3202,3067,100911,5.4,506,103,4.5,7738,473,17,031,824120
17,1212,1130,1086,81570,5.8,289,11,6.9,2722,131,17,031,824121
18,2343,2174,2231,92476,4.9,436,247,3.2,5586,186,17,031,824122
19,2801,2565,2458,71671,13.5,650,163,4.5,6401,70,17,031,824123
20,1539,1396,1284,66684,6.2,506,200,7.3,3187,38,17,031,825303
21,1640,1579,1486,70781,5.9,958,0,3.1,3244,122,17,031,825304
22,1643,1480,1290,47466,21.0,234,4120,21.4,557,3,17,031,830007
23,1433,1292,1228,85156,2.8,75,3907,8.6,209,0,17,031,830008
24,1086,836,723,37917,21.4,3867,0,10.3,34,0,17,031,830500
25,1974,1810,1607,47227,20.0,1687,719,6.2,1709,305,17,031,830600
26,1808,1562,1341,55236,16.3,519,1476,4.3,1559,228,17,031,830700
27,1348,1329,1289,79405,0.0,376,11,7.7,1948,142,17,031,830800
28,1284,1248,1188,102246,0.0,982,86,0.9,1664,176,17,031,830900
29,1056,1034,1006,149722,0.0,186,19,1.7,1840,106,17,031,831000
30,2775,2504,2156,60540,9.7,5128,23,5.4,2965,401,17,031,831100
31,2688,2245,2104,47763,6.4,1346,295,9.0,3432,2025,17,031,806004
