GEOID,GEOG,2000_POP,2010_POP,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
14,Albany Park,57655,51542,49805.99998,3110,9413,12785,11765,7691,2762,1634,646,34.6,16040,22399,2461,7391,1515,48490,39787,27751,26239,1447,12036,25807,1006,24801,12908,2182,7931,1589,191,921584.9993,3522,7924,4140,1323,33711,6730,8105,4466,1938,8265,4207,3037,3821,3000,2271,2623,2157,61759,29525,16909,6809,10100,1533,18442,3477,219,3645,3927,3703,1370,2092,9,5.3,794,1680,2855,13113,1925,4280,7500,4733,1410,519,658,2564,2540,938,307985,9955,394,3682,4218,1624,37,1095,15104,1262,1805,14235,13477,2674,18419,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2579,2109,1951,1620,1469,5525,Health Care,Retail Trade,Manufacturing,Administration,Accommodation and Food Service,1065,880,844,538,474,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7346,2878,1618,745,558,Outside of Chicago,Albany Park,Irving Park,West Ridge,Portage Park,2527,558,178,159,144,,,,11783.65,,,,,,,,,,0,0,1,0,0,1,1.696209209,1229.160488,303.7184257,0.247094199,295.0363269,0.240030761,34.74640572,0.028268404,75.0401636,0.061049932,53.80426335,0.04377318,19.75709275,0.016073648,413.6319022,0.336515781,0,0,28.10292473,0.022863511,5.322983086,0.004330584,4204,4729,3250,4726,10879,1695,6030,2006,0,206,1800,4571,256,949,3366,2956,870,1226,860,7039,5043,1503,493,30068,19738,46696,28927,14419,17769,18685,1077,190,2457,964,687,1757,2522,588,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,,,,,,
57,Archer Heights,12644,13393,13700.97018,1164,3306,2970,2805,1713,1046,440,258,31.7,2104,10608,131,818,41,13699,10005,6442,5904,537,3563,5748,111,5637,3772,516,1027,276,46,188908.493,513,1559,1179,662,8337,2455,3247,1221,340,839,236,839,1098,758,361,636,223,50458,19446,3914,2458,1456,454,4368,2268,60,1001,860,94,68,16,0,5.6,88,709,2378,1193,1954,260,1578,1967,307,256,435,1917,102,0,196948,1404,30,720,607,46,0,980,3203,253,711,3143,2882,771,4676,Manufacturing,Accommodation and Food Service,Health Care,Administration,Retail Trade,595,570,496,477,474,9220,Manufacturing,Transportation,Wholesale Trade,Retail Trade,Administration,3011,1973,899,897,472,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1747,697,307,292,237,Outside of Chicago,West Lawn,Archer Heights,South Lawndale,Brighton Park,4984,262,237,236,232,,,,13482.20,,,,,,,,,,0,0,1,0.081437799,0,0.918562201,1.504478234,1283.804076,168.2185046,0.13103129,69.15138007,0.053864434,9.781739836,0.00761934,62.10400673,0.048374988,37.96304082,0.029570743,335.6242378,0.261429485,556.7244207,0.433652168,0,0,15.00514554,0.011688034,29.23159946,0.022769518,810,873,570,1661,2998,454,916,380,5,27,348,1484,212,400,873,745,251,301,193,1219,926,260,33,8526,5167,12530,10466,4639,2064,8694,1021,597,68,29,0,0,57,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,,,,,,
34,Armour Square,12032,13391,13598.48056,645,1876,2657,2525,2520,1786,863,726,45.6,1897,598,1135,9913,54,13574,11664,6397,5872,525,5266,5651,138,5512,2125,861,1402,1017,108,162857.0447,2324,2072,797,218,10349,3848,2533,823,468,1734,942,2434,1046,630,496,385,421,31663,21858,5413,1865,3546,383,5795,464,561,853,1190,691,194,1836,6,4.6,754,2629,614,1797,1976,1610,2019,1822,209,134,206,801,682,173,290393,3390,1326,1170,594,298,1,720,4080,508,1333,3923,3689,1489,5268,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1266,680,436,383,357,5102,Accommodation and Food Service,Administration,Health Care,Retail Trade,Arts and Entertainment,1740,1042,583,418,313,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1759,943,676,328,227,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1198,774,676,277,238,,,,7679.48,,,,,,,,,,0,0,1,0,0,1,2.521481401,637.4241477,56.31190604,0.088342913,79.16120262,0.124189212,9.78837416,0.01535614,90.11640025,0.141375881,11.24928064,0.01764803,15.6689068,0.024581602,344.4124869,0.540319171,0,0,15.01918629,0.023562311,15.69640395,0.02462474,1764,1744,731,1173,3372,313,2040,1614,258,401,955,1565,272,349,943,630,336,211,82,1217,920,224,74,5785,7807,12946,8994,6546,3952,352,70,7940,123,38,153,177,137,4,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,,,,,,
70,Ashburn,39584,41081,43355.99999,2741,9956,8224,8847,8497,3049,1391,651,36.4,4110,17918,19888,410,1030,42832,33039,22305,19834,2471,10734,19165,528,18637,13544,2123,2641,120,209,735910.0001,1091,4347,4698,2988,27478,4624,7943,6272,2857,3690,2092,2266,2094,2730,2070,2498,1466,70223,25460,13124,10983,2141,544,13668,12046,204,379,471,323,126,119,0,6.4,245,1689,11185,549,1957,504,2388,7161,2629,986,3081,7416,390,53,176068,2107,198,597,667,645,0,1154,11847,930,1277,11284,10442,1840,17077,Health Care,Education,Public Administration,Retail Trade,Accommodation and Food Service,2265,1956,1735,1617,1489,4186,Retail Trade,Utilities,Health Care,Manufacturing,Accommodation and Food Service,830,784,749,378,370,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,7431,3971,920,691,227,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,West Englewood,2363,227,115,78,66,,,,17837.28,,,,,,,,,,0,0,1,0,0.229628009,0.770371991,2.025248363,3109.741438,1267.647868,0.407637707,41.01473766,0.013189115,9.861780469,0.003171254,130.6066948,0.041999214,164.5919488,0.052927857,103.6331544,0.033325328,1073.050424,0.345060979,0,0,259.8666174,0.083565345,59.46821259,0.019123202,2935,3169,2433,4587,9886,1368,3238,1621,26,76,1519,2577,453,438,1686,2730,595,1161,974,6022,4212,1612,198,35514,7842,40615,15101,4923,25514,13420,173,126,128,710,0,84,262,198,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,,,,,,
71,Auburn Gresham,55928,48743,45909.00001,2415,9256,8520,8040,9452,4252,3169,805,40.5,524,1001,43791,141,452,45803,36568,20082,16843,3239,16486,16456,742,15714,10408,1277,3729,100,200,640215.0004,5217,7129,3797,1018,31208,4977,9750,9198,2691,2960,1632,6701,4402,2584,1439,1539,496,34396,19842,17161,7659,9502,3608,20769,9343,330,3685,2615,2386,982,1380,48,5.9,1069,2035,9276,8389,1946,3987,6253,6915,2361,1253,4327,3236,65,18,139697,9169,1428,4642,2176,923,0,868,13724,2356,3437,11879,10291,5282,15082,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,2824,1794,1483,1398,1347,2169,Retail Trade,Accommodation and Food Service,Health Care,Other Service,Education,652,336,208,156,155,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,5536,3122,1139,834,225,Outside of Chicago,Auburn Gresham,South Shore,West Englewood,Greater Grand Crossing,894,178,63,53,52,,,,10588.32,,,,,,,,,,0,0,1,0,0.015820225,0.984179775,1.634956842,2411.968642,798.2360833,0.330947952,318.7035963,0.13213422,22.38282761,0.0092799,94.47130025,0.039167715,109.2757352,0.04530562,56.1041499,0.023260729,834.3288064,0.345911963,0,0,59.3439954,0.024603966,119.1221472,0.049387934,6197,4757,2698,3509,10521,2666,6640,4747,85,600,4062,5402,843,1420,3139,2544,1256,899,389,3448,2665,673,110,44874,1035,43494,1030,327,42464,731,20,66,9,21,0,0,174,9,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,,,,,,
25,Austin,117527,98514,93727.00001,6537,18270,20566,17713,17275,8141,4008,1217,36.2,5288,14113,72886,440,1000,92699,73231,42065,36750,5315,31166,36057,1294,34763,20460,2710,10241,829,523,1330890,10860,12607,6523,2670,61988,11584,22218,14416,4431,6097,3242,12869,8222,4375,2503,3177,1514,33515,20439,32660,13488,19172,5470,38130,9660,722,12206,6894,3735,1542,3202,169,5.8,1318,3443,12217,21152,1935,6882,13978,11671,3596,2003,4567,6619,1968,248,188190,18724,2178,8093,7078,1309,66,966,25463,4365,7197,22856,21083,9804,34451,Health Care,Administration,Retail Trade,Accommodation and Food Service,Manufacturing,5914,4239,3696,3335,2803,13408,Manufacturing,Retail Trade,Health Care,Wholesale Trade,Administration,2620,2085,1984,1134,1041,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,16299,5203,2103,1434,1020,Outside of Chicago,Austin,Humboldt Park,West Town,Belmont Cragin,6765,1020,242,240,230,,,,10201.78,,,,,,,,,,0,0,1,0,0.013927028,0.986072972,0.689628562,4574.247077,955.957202,0.208986788,788.3831264,0.172352545,61.86354401,0.013524312,202.3407844,0.044234774,208.948011,0.045679214,471.5277618,0.103083142,1470.94843,0.321571705,0,0,199.7012978,0.043657742,214.5769195,0.046909779,11364,8206,5538,7552,19846,5176,12814,9192,193,610,8389,10633,867,2181,7585,4326,1612,1464,1250,7107,4886,1894,327,87942,5785,87190,12671,4139,74519,10884,487,0,116,146,15,120,530,373,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,,,,,,
45,Avalon Park,11147,10185,9670.567015,652,1404,1648,1638,2188,899,934,307,45.2,93,9,9339,70,160,9658,8245,4399,3760,640,3845,3676,140,3535,2257,417,819,0,43,159955.0554,909,1813,906,362,6986,732,1885,2022,405,1145,797,1204,964,703,436,456,221,44588,25512,3985,2558,1424,559,4541,2684,246,263,505,354,77,412,0,6.3,469,298,2132,1641,1947,1028,1127,1242,861,284,846,1562,141,10,169550,1371,105,881,236,149,0,879,3006,322,979,2961,2809,1024,3383,Health Care,Education,Administration,Public Administration,Transportation,594,431,340,335,296,2759,Health Care,Construction,Accommodation and Food Service,Finance,Retail Trade,1868,291,167,128,101,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,979,940,270,177,108,Outside of Chicago,South Shore,Roseland,Chatham,Austin,933,138,117,112,109,,,,11996.00,,,,,,,,,,0,0,1,0,0,1,2.859074253,800.1087579,303.6806875,0.379549261,27.15838532,0.033943367,2.5777557,0.003221757,44.83356904,0.056034344,44.14236953,0.055170462,12.00895343,0.015009151,313.5653547,0.391903415,0,0,31.43772209,0.039291811,20.70396064,0.025876433,1739,1114,386,745,2054,338,1930,872,0,10,862,1181,238,213,730,690,196,284,210,1103,768,268,68,9538,141,9025,216,71,8809,62,1,0,0,0,19,43,92,0,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,,,,,,
21,Avondale,43083,39262,38117.99999,2379,6339,12410,8335,4971,2320,917,447,32.9,13234,21471,795,1591,1027,38030,30918,22630,21620,1010,8288,21341,1301,20040,10210,1856,6502,1105,367,714309.9999,2629,6172,3795,1043,26787,5164,5827,4009,1720,6598,3469,2188,2938,2467,1696,2329,2021,66130,32954,13639,5613,8026,1775,15414,2623,419,4559,4429,1958,633,776,17,5.5,1278,1078,2875,10183,1928,2704,7009,4264,926,511,390,1772,2202,1175,343705,7902,206,2074,3605,1863,154,1161,12329,757,1310,11564,10915,2075,16178,Accommodation and Food Service,Health Care,Professional,Retail Trade,Manufacturing,1894,1749,1719,1531,1253,8285,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1522,1242,989,879,590,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5771,2904,1530,996,556,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Irving Park,4070,395,292,248,225,,,,12853.08,,,,,,,,,,0,0,1,0,0,1,0.836002658,1269.297425,161.8543399,0.127514904,312.402393,0.246122293,34.8732884,0.027474481,103.1929549,0.081299271,31.75516064,0.025017904,126.5534966,0.099703579,477.1936236,0.37595099,0,0,8.819097569,0.006948015,12.65307014,0.009968562,3508,4270,2788,3073,8000,1082,5639,1449,0,35,1414,3403,172,720,2511,2461,537,1187,737,6046,3926,1591,529,26937,11181,35739,19785,8600,15954,16742,1575,9,385,85,115,261,583,30,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,,,,,,
19,Belmont Cragin,78144,78743,78550.04844,5234,18046,16083,17698,13922,4832,2134,601,34.9,10398,63777,1865,1453,1057,78213,60391,40418,37869,2548,19973,37162,760,36402,24438,4428,5554,1146,836,1419486.374,3279,8229,7270,3669,50101,15903,15647,8879,2941,4856,1875,5051,5852,4092,3196,2789,1468,51689,20284,22449,11518,10932,2154,24604,9364,549,5975,5365,2019,507,772,53,5.7,1059,2168,7853,13523,1935,3831,9567,6678,2685,1842,1441,7176,2666,225,246657,10568,303,4621,4763,855,26,1031,19168,2421,3281,17505,16273,4944,27510,Manufacturing,Retail Trade,Health Care,Accommodation and Food Service,Administration,3694,3400,3278,3111,2670,8244,Retail Trade,Manufacturing,Accommodation and Food Service,Administration,Health Care,2701,1185,1010,582,577,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,13351,3057,1622,923,796,Outside of Chicago,Belmont Cragin,Austin,Portage Park,Logan Square,3968,796,316,226,179,,,,13727.45,,,,,,,,,,0,0,1,0,0,1,0.888154336,2504.577927,710.7003132,0.283760511,386.0368973,0.154132516,48.56702876,0.019391303,239.4101097,0.095589004,148.7027405,0.059372375,111.7826842,0.044631346,775.6569475,0.309695673,0,0,64.77975078,0.025864538,18.94145473,0.007562733,4471,5262,3898,8817,16762,3262,5686,3120,0,118,3002,7293,397,1483,5413,4005,1213,1372,1421,7428,4949,1834,644,47898,30650,73313,60147,26267,13165,54234,3496,0,1080,419,0,237,637,46,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,,,,,,
72,Beverly,21992,20034,19791.00001,1296,3524,2568,3888,5046,2261,886,322,44.6,11383,978,6774,160,496,19764,15806,10302,9846,456,5504,9663,564,9099,6498,463,1823,217,98,311200.0003,381,2839,3144,1117,14140,493,1988,2726,1186,4029,3718,663,1031,1033,1072,1358,2324,98636,51354,7481,6195,1286,535,8016,6264,107,351,239,628,194,216,17,7.2,166,605,3536,3709,1942,779,1334,3275,1912,716,390,2318,2816,622,320425,1262,12,717,348,108,77,923,7185,185,296,6898,6660,583,9815,Education,Public Administration,Health Care,Professional,Accommodation and Food Service,1665,1387,1233,800,618,4000,Transportation,Professional,Accommodation and Food Service,Health Care,Retail Trade,676,661,541,435,373,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3619,3327,525,474,322,Outside of Chicago,Beverly,Auburn Gresham,Morgan Park,Roseland,2042,322,106,103,92,,,,14379.79,,,,,,,,,,0,0,1,0,0.035938259,0.964061741,2.00313859,2038.093742,1044.08874,0.512286907,60.30855433,0.029590668,9.671452203,0.004745342,65.45139495,0.032114026,42.68778539,0.020944957,0,0,548.8853909,0.269313123,0,0,257.6114278,0.126398223,9.388996294,0.004606754,1996,2657,1209,1619,5196,347,2285,354,0,0,354,1174,81,346,747,1033,384,395,254,4730,3340,1008,382,19057,734,18495,1190,209,17305,628,37,85,31,63,17,32,273,24,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,,,,,,
