,name,comm_num,total_pop,total_households,hh_no_internet,hh_no_internet(%),hh_internet,hh_internet(%),internet_rr,hh_computer,hh_computer(%),hh_no_computer,hh_no_computer(%),computer_rr,hh_broadband,hh_broadband(%),hh_poverty(%),hh_unemployment(%),hh_median_income,total_hispanic,total_hispanic(%),total_black,total_black(%),total_white,total_white(%),total_asian,total_asian(%),ccvi_score,ccvi_cat,hardship_score
0,Albany Park,14,49806,16909,2674,15.814063516470519,13488,79.76817079661718,95.5822343130877,15104,89.32521142586788,1805,10.67478857413212,100.0,13477,79.70311668342302,12.1,5.8,66818.0,22399,44.97249327390274,2461,4.941171746375939,16040,32.20495522627796,7391,14.839577560936434,38.2,MEDIUM,53.0
1,Archer Heights,57,13726,3919,772,19.698902781321767,2886,73.64123500893085,93.34013779025263,3207,81.83210002551672,712,18.167899974483287,100.0,2886,73.64123500893085,10.1,8.1,48629.0,10626,77.41512458108699,131,0.9543931225411627,2109,15.365000728544368,819,5.9667783768031475,53.3,HIGH,67.0
2,Armour Square,34,13538,5396,1488,27.575982209043737,3685,68.29132690882135,95.86730911786509,4064,75.31504818383988,1332,24.68495181616012,100.0,3674,68.08747220163085,25.8,6.2,33333.0,585,4.321170039887724,1135,8.383808538927463,1878,13.87206382035751,9886,73.02408036637613,30.9,LOW,82.0
3,Ashburn,70,43356,13124,1840,14.020115818348064,10449,79.61749466626028,93.63761048460835,11847,90.26973483693995,1277,9.730265163060043,100.0,10442,79.56415726912527,8.75,10.100000000000001,69261.0,17918,41.327613248454654,19888,45.87139034966326,4110,9.47965679490728,410,0.945659193652551,45.1,MEDIUM,37.0
4,Auburn Gresham,71,45909,17161,5282,30.779092127498398,10394,60.56756599265777,91.34665812015616,13724,79.97202960200454,3437,20.027970397995453,100.0,10291,59.96736786900531,23.6,17.1,35568.0,1001,2.18040035722843,43791,95.38652551787231,524,1.1413883987889084,141,0.3071293210481605,48.2,HIGH,74.0
5,Austin,25,93727,32660,9804,30.018371096142072,21110,64.63563992651562,94.65401102265768,25463,77.96387017758725,7197,22.036129822412736,100.0,21083,64.5529699938763,20.049999999999997,12.05,33700.5,14113,15.057560788246715,72886,77.76414480352514,5288,5.641917483756015,440,0.4694485046998197,52.9,HIGH,73.0
6,Avalon Park,45,9713,4007,1030,25.70501622161218,2840,70.87596705764912,96.58098327926129,3022,75.41801846768156,985,24.58198153231844,100.0,2825,70.50162216121787,15.55,14.3,46206.5,9,0.0926593225573973,9381,96.58190054566046,93,0.9574796664264388,70,0.7206836198908679,44.2,MEDIUM,41.0
7,Avondale,21,38118,13639,2075,15.213725346433025,11009,80.71706136813549,95.93078671456851,12329,90.39519026321578,1310,9.60480973678422,100.0,10915,80.02786128015251,10.55,4.9,64584.0,21471,56.3277191877853,795,2.08562883677003,13234,34.718505692848524,1591,4.173881106039142,28.5,LOW,42.0
8,Belmont Cragin,19,78601,22476,4951,22.027940914753515,16351,72.74870973482827,94.77665064958177,19192,85.38885922762057,3284,14.611140772379427,100.0,16292,72.48620751023313,12.6,5.6,53021.0,63806,81.17708426101449,1866,2.374015597765932,10416,13.251739799748094,1455,1.8511214870039823,52.4,HIGH,70.0
9,Beverly,72,19791,7481,583,7.793075792006417,6670,89.15920331506483,96.95227910707125,7185,96.04330971795214,296,3.956690282047855,100.0,6660,89.02553134607672,1.7,4.8,111667.0,978,4.941640139457329,6774,34.2276792481431,11383,57.51604264564701,160,0.8084482845737961,27.4,LOW,12.0
10,Bridgeport,60,34540,12994,1682,12.944435893489302,10899,83.87717408034477,96.82160997383407,11475,88.30998922579653,1519,11.69001077420348,100.0,10875,83.6924734492843,10.55,6.6,58381.0,7558,21.88187608569774,1039,3.00810654313839,11825,34.23566878980891,13675,39.59177764910249,21.6,LOW,43.0
11,Brighton Park,58,44156,12581,2631,20.91248708369764,9540,75.82863047452508,96.74111755822273,10466,83.18893569668548,2115,16.81106430331452,100.0,9492,75.44710277402432,19.2,10.45,44717.0,35720,80.89500860585198,529,1.198025183440529,3014,6.825799438354924,4514,10.222846272307274,48.5,HIGH,84.0
12,Burnside,47,2006,888,375,42.22972972972973,477,53.71621621621622,95.94594594594594,557,62.72522522522522,331,37.27477477477478,100.0,464,52.25225225225225,7.5,20.1,28864.0,39,1.9441674975074776,1931,96.26121635094715,10,0.4985044865403789,0,0.0,58.4,HIGH,79.0
13,Calumet Heights,48,12815,5319,969,18.217710095882687,4273,80.33464937018236,98.55235946606506,4455,83.75634517766497,864,16.243654822335024,100.0,4232,79.56382778717804,8.6,8.5,47059.0,477,3.722200546234881,12056,94.07725321888411,143,1.1158798283261802,9,0.07023019898556379,46.1,MEDIUM,38.0
14,Chatham,44,30967,13907,4133,29.7188466240023,9288,66.78651039045084,96.50535701445315,11298,81.23966347882362,2609,18.760336521176384,100.0,9278,66.71460415618034,22.5,16.0,33921.0,262,0.8460619369005715,29625,95.66635450641004,585,1.8891077598734138,124,0.4004262602124843,43.0,MEDIUM,60.0
15,Chicago Lawn,66,51352,16368,3878,23.692570869990227,11319,69.15322580645162,92.84579667644184,13139,80.27248289345064,3229,19.727517106549364,100.0,11298,69.02492668621701,24.6,21.0,34230.0,26481,51.56761177753544,22177,43.18624396323415,1525,2.9696993301137247,265,0.5160461131017292,57.8,HIGH,80.0
