ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2020,"2020",0,"Total",84861,24992,"Census Tract 1.07, Bernalillo County, NM","14000US35001000107"
2020,"2020",0,"Total",49970,28594,"Census Tract 1.08, Bernalillo County, NM","14000US35001000108"
2020,"2020",0,"Total",74813,35105,"Census Tract 1.09, Bernalillo County, NM","14000US35001000109"
2020,"2020",0,"Total",45761,17783,"Census Tract 1.10, Bernalillo County, NM","14000US35001000110"
2020,"2020",0,"Total",112250,24958,"Census Tract 1.11, Bernalillo County, NM","14000US35001000111"
2020,"2020",0,"Total",91318,4610,"Census Tract 1.12, Bernalillo County, NM","14000US35001000112"
2020,"2020",0,"Total",58750,23453,"Census Tract 1.13, Bernalillo County, NM","14000US35001000113"
2020,"2020",0,"Total",51625,15708,"Census Tract 1.14, Bernalillo County, NM","14000US35001000114"
2020,"2020",0,"Total",39148,13330,"Census Tract 1.15, Bernalillo County, NM","14000US35001000115"
2020,"2020",0,"Total",77375,17811,"Census Tract 1.16, Bernalillo County, NM","14000US35001000116"
2020,"2020",0,"Total",67697,5238,"Census Tract 1.17, Bernalillo County, NM","14000US35001000117"
2020,"2020",0,"Total",65372,7529,"Census Tract 1.18, Bernalillo County, NM","14000US35001000118"
2020,"2020",0,"Total",104632,13212,"Census Tract 1.19, Bernalillo County, NM","14000US35001000119"
2020,"2020",0,"Total",45449,11642,"Census Tract 1.20, Bernalillo County, NM","14000US35001000120"
2020,"2020",0,"Total",43700,9460,"Census Tract 1.21, Bernalillo County, NM","14000US35001000121"
2020,"2020",0,"Total",53516,14562.999999999998,"Census Tract 1.22, Bernalillo County, NM","14000US35001000122"
2020,"2020",0,"Total",49878,10520,"Census Tract 1.23, Bernalillo County, NM","14000US35001000123"
2020,"2020",0,"Total",27051,11765,"Census Tract 1.24, Bernalillo County, NM","14000US35001000124"
2020,"2020",0,"Total",99643,12768,"Census Tract 1.25, Bernalillo County, NM","14000US35001000125"
