ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2020,"2020",0,"Total",58617,4726,"Census Tract 208, Clackamas County, OR","14000US41005020800"
2020,"2020",0,"Total",66793,6139,"Census Tract 209, Clackamas County, OR","14000US41005020900"
2020,"2020",0,"Total",86524,13253,"Census Tract 210, Clackamas County, OR","14000US41005021000"
2020,"2020",0,"Total",55977,9917,"Census Tract 216.01, Clackamas County, OR","14000US41005021601"
2020,"2020",0,"Total",111974,22512,"Census Tract 222.06, Clackamas County, OR","14000US41005022206"
2020,"2020",0,"Total",112209,24530,"Census Tract 222.08, Clackamas County, OR","14000US41005022208"
2020,"2020",0,"Total",82691,18540,"Census Tract 3.01, Multnomah County, OR","14000US41051000301"
2020,"2020",0,"Total",147027,22373,"Census Tract 3.02, Multnomah County, OR","14000US41051000302"
2020,"2020",0,"Total",88491,8318,"Census Tract 4.01, Multnomah County, OR","14000US41051000401"
2020,"2020",0,"Total",71111,10046,"Census Tract 4.02, Multnomah County, OR","14000US41051000402"
2020,"2020",0,"Total",73438,17132,"Census Tract 5.01, Multnomah County, OR","14000US41051000501"
2020,"2020",0,"Total",80185,14560,"Census Tract 5.02, Multnomah County, OR","14000US41051000502"
2020,"2020",0,"Total",64464,19375,"Census Tract 6.01, Multnomah County, OR","14000US41051000601"
2020,"2020",0,"Total",61607,6581,"Census Tract 6.02, Multnomah County, OR","14000US41051000602"
2020,"2020",0,"Total",77469,16023.000000000002,"Census Tract 7.01, Multnomah County, OR","14000US41051000701"
2020,"2020",0,"Total",73176,6015,"Census Tract 7.02, Multnomah County, OR","14000US41051000702"
2020,"2020",0,"Total",82383,25097,"Census Tract 8.01, Multnomah County, OR","14000US41051000801"
2020,"2020",0,"Total",64871,7169.000000000001,"Census Tract 8.02, Multnomah County, OR","14000US41051000802"
2020,"2020",0,"Total",107188,8031.999999999999,"Census Tract 9.01, Multnomah County, OR","14000US41051000901"
2020,"2020",0,"Total",75423,16083.000000000002,"Census Tract 9.02, Multnomah County, OR","14000US41051000902"
2020,"2020",0,"Total",73228,13102,"Census Tract 10, Multnomah County, OR","14000US41051001000"
