OBJECTID,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10,ACRES_TOTAL,WATER,SHAPE_Length,SHAPE_Area
1,2500,002500,53033002500,25,Census Tract 25,243.21908274,0,16442.9684017039,10594623.244072
2,2600,002600,53033002600,26,Census Tract 26,307.58442044,0,15936.1370583039,13398377.3541715
3,5600,005600,53033005600,56,Census Tract 56,737.51172746,0,30337.2943538308,32126010.8481221
4,6800,006800,53033006800,68,Census Tract 68,177.43877075,0,11275.3764903467,7729232.85385377
5,6000,006000,53033006000,60,Census Tract 60,324.56743167,0,19729.922874753,14138157.3234337
6,5900,005900,53033005900,59,Census Tract 59,447.91950792,0,24649.7666705492,19511373.7651016
8,5700,005700,53033005700,57,Census Tract 57,1229.15600248,0,44813.5428417101,53542035.4679839
9,4900,004900,53033004900,49,Census Tract 49,270.63279041,0,16136.3441744321,11788764.3502774
10,5801,005801,53033005801,58.01,Census Tract 58.01,449.98414502,0,26367.9369935514,19601309.3571843
11,4800,004800,53033004800,48,Census Tract 48,330.28224693,0,18725.1423901596,14387094.6762871
12,4700,004700,53033004700,47,Census Tract 47,490.84574314,0,22313.9948711802,21381240.5710746
14,3200,003200,53033003200,32,Census Tract 32,510.29345855,0,33766.8661128842,22228383.0545001
15,3500,003500,53033003500,35,Census Tract 35,317.45244839,0,16634.3481234398,13828228.6518199
16,3400,003400,53033003400,34,Census Tract 34,194.49775167,0,12629.3222581997,8472322.06274561
17,3300,003300,53033003300,33,Census Tract 33,320.32049519,0,16129.6803472402,13953160.7702645
18,2800,002800,53033002800,28,Census Tract 28,242.98539587,0,13187.7124890148,10584443.8441233
19,2900,002900,53033002900,29,Census Tract 29,243.68167521,0,13366.3195076397,10614773.772293
20,3000,003000,53033003000,30,Census Tract 30,368.96744741,0,16061.9476208421,16072222.0089667
21,3100,003100,53033003100,31,Census Tract 31,530.70314556,0,24381.1524803013,23117429.020445
22,1701,001701,53033001701,17.01,Census Tract 17.01,220.59345569,0,17164.4546404212,9609050.92988548
