OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,H0010001,H0010002,H0010003,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,POP100,HU100,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020003,P0020004,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030002,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040003,P0040004,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,SHAPEAREA,SHAPELEN
1,002002,11001002002,4072,3647,1116,1751,27,84,0,669,1022,1033,1722,4,83,0,21,3198,855,1505,24,71,0,470,701,805,1490,4,70,0,8,1532,1394,138,849376,0,DC,140,11001002002,11,Census Tract 20.02,4072,1532,425,392,61,33,38,0,183,15,13,4,38,0,0,0,1,4,2,32,19,1,0,2,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4072,3050,2863,187,169,59,9,36,0,16,15,13,4,16,0,0,0,1,0,0,18,14,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,273,245,36,15,17,0,124,8,6,4,28,0,0,0,1,4,2,27,16,1,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3198,2497,2377,120,105,36,5,17,0,16,8,6,4,12,0,0,0,1,0,0,15,11,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32,0,0,32,0,0
2,002101,11001002101,5687,5071,1037,2642,86,120,1,1185,1868,885,2586,20,115,1,39,4375,827,2149,58,100,1,816,1277,731,2110,16,95,1,25,2335,2107,228,600992,0,DC,140,11001002101,11,Census Tract 21.01,5687,2335,616,572,42,11,37,0,339,30,19,0,68,0,0,23,2,1,0,41,10,4,0,4,1,0,17,0,4,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5687,3819,3646,173,160,39,8,35,0,11,29,14,0,22,0,0,0,2,0,0,13,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3951,424,392,23,7,21,0,238,18,14,0,57,0,0,11,2,1,0,30,8,4,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,3098,2978,120,109,23,5,20,0,11,17,14,0,17,0,0,0,2,0,0,11,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,0,0,31,0,0
3,002102,11001002102,5099,4599,901,2910,50,87,0,651,1074,805,2856,14,83,0,40,3984,741,2340,44,79,0,433,735,674,2300,13,75,0,28,2221,1959,262,725975,0,DC,140,11001002102,11,Census Tract 21.02,5099,2221,500,451,69,11,41,2,189,23,9,0,73,2,0,27,1,2,2,41,6,6,0,12,0,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5099,4025,3798,227,197,66,4,39,2,16,23,9,0,33,2,0,0,1,2,0,23,6,6,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637,347,307,38,10,27,2,124,17,5,0,56,2,0,22,0,2,2,32,6,5,0,11,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,8,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3984,3249,3090,159,130,38,4,27,2,9,17,5,0,24,2,0,0,0,2,0,22,6,5,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,145,0,0,145,0,0
4,002201,11001002201,3485,3138,973,1722,21,94,2,326,683,864,1687,3,85,2,14,2755,742,1444,13,75,2,248,485,671,1427,1,73,2,11,1229,1141,88,415173,0,DC,140,11001002201,11,Census Tract 22.01,3485,1229,347,310,40,8,50,0,165,4,1,0,37,0,0,1,2,2,0,33,6,0,0,6,0,0,10,1,3,0,0,0,3,0,0,1,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3485,2802,2655,147,131,40,3,49,0,18,4,1,0,12,0,0,0,2,2,0,15,6,0,0,5,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,231,201,17,7,23,0,122,0,1,0,26,0,0,1,2,2,0,26,6,0,0,5,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2755,2270,2185,85,71,17,3,22,0,15,0,1,0,9,0,0,0,2,2,0,13,6,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0
5,002202,11001002202,3339,2957,619,1636,48,57,3,594,1003,548,1594,8,54,0,22,2556,496,1310,38,57,3,393,672,452,1285,8,54,0,17,1454,1273,181,698895,566,DC,140,11001002202,11,Census Tract 22.02,3339,1454,382,356,44,8,21,0,212,13,5,3,38,0,0,12,0,0,0,14,2,5,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3339,2336,2226,110,100,41,2,21,0,6,13,3,3,9,0,0,2,0,0,0,8,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297,259,242,23,4,14,0,142,9,2,3,33,0,0,12,0,0,0,7,1,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2556,1884,1816,68,66,23,2,14,0,6,9,0,3,7,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0
6,000101,11001000101,1406,1259,1083,47,5,92,1,31,140,1054,47,4,90,1,3,1288,1005,39,2,90,1,27,123,977,39,2,88,1,3,999,865,134,199776,5261,DC,140,11001000101,11,Census Tract 1.01,1406,999,147,135,17,8,22,2,86,0,0,0,0,0,0,0,0,0,0,11,2,1,1,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,1266,1199,67,61,16,5,22,1,17,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,124,116,17,8,11,2,78,0,0,0,0,0,0,0,0,0,0,8,2,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,1165,1110,55,50,16,5,11,1,17,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,000102,11001000102,3417,3097,2783,57,3,176,2,76,316,2711,56,0,176,1,22,2929,2427,53,3,161,0,72,248,2365,53,0,161,0,20,2053,1724,329,1706484,516665,DC,140,11001000102,11,Census Tract 1.02,3417,2053,320,304,14,25,62,2,187,1,7,0,0,1,0,1,3,1,0,16,3,0,0,5,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3417,3101,2966,135,128,14,13,62,0,27,1,7,0,0,1,0,0,3,0,0,7,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716,213,208,5,12,34,1,145,1,6,0,0,1,0,0,3,0,0,5,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2929,2681,2599,82,80,5,4,34,0,26,1,6,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0
8,000201,11001000201,4108,3697,2535,348,9,624,6,175,456,2399,339,4,621,6,29,4079,2535,346,9,624,6,174,435,2399,337,4,621,6,29,11,11,0,505004,0,DC,140,11001000201,11,Census Tract 2.01,4108,11,411,383,62,8,127,0,158,0,5,2,10,0,0,4,0,6,1,25,0,6,0,9,0,0,4,1,2,2,0,0,1,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4108,3652,3398,254,240,60,6,127,0,29,0,5,2,5,0,0,0,0,6,0,14,0,6,0,4,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,385,370,62,6,127,0,156,0,5,2,5,0,0,0,0,6,1,13,0,2,0,7,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4079,3644,3396,248,238,60,6,127,0,27,0,5,2,5,0,0,0,0,6,0,10,0,2,0,4,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,4030,3989,0,41,0,0
9,000202,11001000202,4672,4278,3573,193,11,399,0,102,357,3492,184,3,396,0,25,4212,3236,182,4,380,0,95,313,3164,173,3,377,0,18,2169,1814,355,776435,439661,DC,140,11001000202,11,Census Tract 2.02,4672,2169,394,380,31,15,100,0,216,5,7,2,1,0,0,3,0,0,0,9,1,2,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4672,4315,4100,215,209,31,14,100,0,50,5,7,2,0,0,0,0,0,0,0,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3897,315,303,31,13,66,0,178,5,4,2,1,0,0,3,0,0,0,8,1,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4212,3899,3735,164,158,31,12,66,0,38,5,4,2,0,0,0,0,0,0,0,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,15,15,0,0,0,829,811,0,18,0,0
10,000300,11001000300,6161,5553,4645,260,16,488,6,138,557,4533,248,11,482,5,26,5081,3861,223,16,433,6,101,442,3775,211,11,427,5,17,2845,2634,211,1042157,2305,DC,140,11001000300,11,Census Tract 3,6161,2845,608,571,46,29,143,2,322,6,5,0,14,0,0,4,0,0,0,32,3,1,0,10,1,0,10,0,4,0,1,1,1,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6161,5604,5305,299,284,44,25,137,2,67,4,1,0,4,0,0,0,0,0,0,10,2,1,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4640,441,407,26,27,86,2,246,0,4,0,14,0,0,2,0,0,0,29,3,1,0,9,1,0,10,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5081,4639,4446,193,179,24,23,85,2,41,0,0,0,4,0,0,0,0,0,0,9,2,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0
