STUSAB,SUMLEV,COUNTY,COUSUB,PLACE,GEOID2,CHGOCA,TRACT,NAME,Notes,Community Area Name
IL,80,31,14000,14000,1010100,1,010100,CA 01 Tract 010100,,Rogers Park
IL,80,31,14000,14000,1010201,1,010201,CA 01 Tract 010201,,Rogers Park
IL,80,31,14000,14000,1010202,1,010202,CA 01 Tract 010202,,Rogers Park
IL,80,31,14000,14000,1010300,1,010300,CA 01 Tract 010300,,Rogers Park
IL,80,31,14000,14000,1010400,1,010400,CA 01 Tract 010400,,Rogers Park
IL,80,31,14000,14000,1010501,1,010501,CA 01 Tract 010501,,Rogers Park
IL,80,31,14000,14000,1010502,1,010502,CA 01 Tract 010502,,Rogers Park
IL,80,31,14000,14000,1010503,1,010503,CA 01 Tract 010503,,Rogers Park
IL,80,31,14000,14000,1010600,1,010600,CA 01 Tract 010600,,Rogers Park
IL,80,31,14000,14000,1010701,1,010701,CA 01 Tract 010701,,Rogers Park
IL,80,31,14000,14000,1010702,1,010702,CA 01 Tract 010702,,Rogers Park
IL,80,31,14000,14000,1830600,1,830600,CA 01 Tract 830600,,Rogers Park
IL,80,31,14000,14000,2020100,2,020100,CA 02 Tract 020100,,West Ridge
IL,80,31,14000,14000,2020200,2,020200,CA 02 Tract 020200,,West Ridge
IL,80,31,14000,14000,2020301,2,020301,CA 02 Tract 020301,,West Ridge
IL,80,31,14000,14000,2020302,2,020302,CA 02 Tract 020302,,West Ridge
IL,80,31,14000,14000,2020400,2,020400,CA 02 Tract 020400,,West Ridge
IL,80,31,14000,14000,2020500,2,020500,CA 02 Tract 020500,,West Ridge
IL,80,31,14000,14000,2020601,2,020601,CA 02 Tract 020601,,West Ridge
IL,80,31,14000,14000,2020602,2,020602,CA 02 Tract 020602,,West Ridge
IL,80,31,14000,14000,2020701,2,020701,CA 02 Tract 020701,,West Ridge
IL,80,31,14000,14000,2020702,2,020702,CA 02 Tract 020702,,West Ridge
IL,80,31,14000,14000,2020801,2,020801,CA 02 Tract 020801,,West Ridge
IL,80,31,14000,14000,2020802,2,020802,CA 02 Tract 020802,,West Ridge
IL,80,31,14000,14000,2020901,2,020901,CA 02 Tract 020901,,West Ridge
IL,80,31,14000,14000,2020902,2,020902,CA 02 Tract 020902,,West Ridge
IL,80,31,14000,14000,3031000,3,031000,CA 03 Tract 031000,,Uptown
IL,80,31,14000,14000,3031100,3,031100,CA 03 Tract 031100,,Uptown
IL,80,31,14000,14000,3031200,3,031200,CA 03 Tract 031200,,Uptown
IL,80,31,14000,14000,3031300,3,031300,CA 03 Tract 031300,,Uptown
IL,80,31,14000,14000,3031400,3,031400,CA 03 Tract 031400,,Uptown
IL,80,31,14000,14000,3031501,3,031501,CA 03 Tract 031501,,Uptown
IL,80,31,14000,14000,3031502,3,031502,CA 03 Tract 031502,,Uptown
IL,80,31,14000,14000,3031700,3,031700,CA 03 Tract 031700,,Uptown
IL,80,31,14000,14000,3031800,3,031800,CA 03 Tract 031800,,Uptown
IL,80,31,14000,14000,3031900,3,031900,CA 03 Tract 031900,,Uptown
IL,80,31,14000,14000,3032100,3,032100,CA 03 Tract 032100,,Uptown
IL,80,31,14000,14000,3830700,3,830700,CA 03 Tract 830700,,Uptown
IL,80,31,14000,14000,4040100,4,040100,CA 04 Tract 040100,,Lincoln Square
IL,80,31,14000,14000,4040201,4,040201,CA 04 Tract 040201,,Lincoln Square
IL,80,31,14000,14000,4040202,4,040202,CA 04 Tract 040202,,Lincoln Square
IL,80,31,14000,14000,4040300,4,040300,CA 04 Tract 040300,,Lincoln Square
IL,80,31,14000,14000,4040401,4,040401,CA 04 Tract 040401,,Lincoln Square
IL,80,31,14000,14000,4040402,4,040402,CA 04 Tract 040402,,Lincoln Square
IL,80,31,14000,14000,4040600,4,040600,CA 04 Tract 040600,,Lincoln Square
IL,80,31,14000,14000,4040700,4,040700,CA 04 Tract 040700,,Lincoln Square
IL,80,31,14000,14000,4040800,4,040800,CA 04 Tract 040800,,Lincoln Square
IL,80,31,14000,14000,4040900,4,040900,CA 04 Tract 040900,,Lincoln Square
IL,80,31,14000,14000,4830800,4,830800,CA 04 Tract 830800,,Lincoln Square
IL,80,31,14000,14000,5050100,5,050100,CA 05 Tract 050100,,North Center
IL,80,31,14000,14000,5050200,5,050200,CA 05 Tract 050200,,North Center
IL,80,31,14000,14000,5050300,5,050300,CA 05 Tract 050300,,North Center
IL,80,31,14000,14000,5050500,5,050500,CA 05 Tract 050500,,North Center
IL,80,31,14000,14000,5050600,5,050600,CA 05 Tract 050600,,North Center
IL,80,31,14000,14000,5050700,5,050700,CA 05 Tract 050700,,North Center
IL,80,31,14000,14000,5050800,5,050800,CA 05 Tract 050800,,North Center
IL,80,31,14000,14000,5050900,5,050900,CA 05 Tract 050900,,North Center
