Geography Type,Community Area or ZIP Code,Community Area Name,CCVI Score,CCVI Category,Rank - Socioeconomic Status,Rank - Household Composition and Disability,Rank - Adults with no PCP,Rank - Cumulative Mobility Ratio,Rank - Frontline Essential Workers,Rank - Age 65+,Rank - Comorbid Conditions,Rank - COVID-19 Incidence Rate,Rank - COVID-19 Hospital Admission Rate,Rank - COVID-19 Crude Mortality Rate,Location
CA,70,Ashburn,45.1,MEDIUM,34,32,28,45,48,29,33,59,66,39,POINT (-87.7083657043 41.7457577128)
ZIP,60625,,25.5,LOW,,,,,,,,,,,POINT (-87.701816 41.971155)
CA,1,Rogers Park,30.9,LOW,32,16,38,22,71,7,50,35,35,14,POINT (-87.6701668569 42.0096228806)
ZIP,60612,,31.7,MEDIUM,,,,,,,,,,,POINT (-87.687011 41.88004)
ZIP,60641,,36.1,MEDIUM,,,,,,,,,,,POINT (-87.746791 41.946682)
CA,6,Lake View,5.2,LOW,2,3,10,2,14,5,6,9,2,2,POINT (-87.6559981815 41.9442266014)
ZIP,60646,,24.6,LOW,,,,,,,,,,,POINT (-87.761826 41.993931)
CA,11,Jefferson Park,25.6,LOW,14,19,26,20,53,54,2,37,11,25,POINT (-87.771166703 41.9788295262)
CA,57,Archer Heights,53.3,HIGH,49,31,30,51,58,37,73,73,50,56,POINT (-87.7263633246 41.8108790078)
CA,43,South Shore,45.6,MEDIUM,48,55,41,60,35,41,57,17,62,50,POINT (-87.5727819867 41.7615779081)
CA,25,Austin,52.9,HIGH,59,63,53,63,28,43,63,54,46,58,POINT (-87.7560467111 41.8906088526)
CA,38,Grand Boulevard,41.3,MEDIUM,40,58,34,44,22,47,39,36,63,27,POINT (-87.6178596758 41.8129489392)
CA,26,West Garfield Park,47.4,MEDIUM,76,76,74,60,14,30,65,34,51,30,POINT (-87.7302324284 41.8785943576)
CA,53,West Pullman,49.2,HIGH,54,66,37,69,32,58,62,12,52,69,POINT (-87.6357397768 41.6738199043)
CA,15,Portage Park,34.3,MEDIUM,24,17,16,29,50,38,35,57,26,33,POINT (-87.7633990316 41.9540276487)
ZIP,60636,,62.5,HIGH,,,,,,,,,,,POINT (-87.668597 41.77599)
ZIP,60653,,34.9,MEDIUM,,,,,,,,,,,POINT (-87.611244 41.819261)
CA,21,Avondale,28.5,LOW,25,13,23,21,66,16,43,51,18,13,POINT (-87.7112105933 41.9386661962)
CA,47,Burnside*,58.4,HIGH,51,71,1,71,69,75,20,45,76,76,POINT (-87.5964755956 41.728182061)
ZIP,60617,,47.0,MEDIUM,,,,,,,,,,,POINT (-87.556897 41.721257)
CA,58,Brighton Park,48.5,HIGH,61,39,63,46,62,15,29,68,36,52,POINT (-87.6988607973 41.8173662079)
ZIP,60602,,8.3,LOW,,,,,,,,,,,POINT (-87.628309 41.883136)
CA,30,South Lawndale,58.2,HIGH,72,47,69,53,37,11,41,70,64,74,POINT (-87.714003807 41.8390869059)
ZIP,60631,,27.7,LOW,,,,,,,,,,,POINT (-87.813371 41.995019)
ZIP,60647,,28.8,LOW,,,,,,,,,,,POINT (-87.701101 41.921058)
ZIP,60608,,40.1,MEDIUM,,,,,,,,,,,POINT (-87.670366 41.849879)
CA,62,West Elsdon,48.6,HIGH,42,30,70,42,57,21,33,71,41,53,POINT (-87.7242081939 41.7929819032)
ZIP,60661,,20.0,LOW,,,,,,,,,,,POINT (-87.644283 41.882786)
ZIP,60613,,12.9,LOW,,,,,,,,,,,POINT (-87.661343 41.953742)
ZIP,60707,,51.7,HIGH,,,,,,,,,,,POINT (-87.808283 41.921777)
ZIP,60642,,17.0,LOW,,,,,,,,,,,POINT (-87.657821 41.899935)
CA,2,West Ridge,36.0,MEDIUM,35,40,13,26,55,41,19,49,40,29,POINT (-87.6950125892 42.001571027)
CA,75,Morgan Park,43.3,MEDIUM,21,47,56,43,22,66,64,32,37,54,POINT (-87.6690544032 41.6897299145)
CA,7,Lincoln Park,7.3,LOW,3,1,19,1,2,15,3,15,7,3,POINT (-87.6494887289 41.9226862843)
