,tractblock
0,6903002010
1,6809003007
2,6809003013
3,2909004019
4,2925004016
5,2925004000
6,3009002003
7,8407002002
8,8407003019
9,7502003005
10,7302023021
11,7302021034
12,7307002042
13,7501002002
14,6607001020
15,6713001021
16,6705001049
17,5705001020
18,5608002002
19,7402004007
20,7402004011
21,7503003008
22,7205001022
23,7004011012
24,6611004013
25,6609003010
26,6503011001
27,8352001032
28,5607001001
29,6404001017
30,6404002031
31,6404002019
32,5610006010
33,7201001002
34,5305033025
35,5305032044
36,7004023014
37,7004021004
38,7003011011
39,7004012025
40,7004012019
41,7108002011
42,7101001023
43,7115001001
44,7115001008
45,6703001006
46,6114002002
47,6119001027
48,6702001018
49,6806001000
50,8348002009
51,7506003004
52,4911005022
53,7506003017
54,7506001023
55,8349002013
56,7110001001
57,6811002008
58,6811004001
59,8349002003
60,6708002023
61,6303002028
62,6304004015
63,8342004000
64,4304004002
65,8346004027
66,8346004040
67,6904002012
68,6904002019
69,8430002001
70,8314002059
71,8314002049
72,2606002008
73,2522025004
74,2519001015
75,2718001015
76,8429004096
77,8429004109
78,8429001007
79,3406001026
80,8355001018
81,8370001001
82,8382002004
83,8382002015
84,8380002027
85,8410001067
86,3301003016
87,2819003001
88,8316002003
89,8316002006
90,1006003031
91,1006003038
92,1007004021
93,5203004009
94,5202002011
95,5202003029
96,8339002027
97,8339002001
98,5201001006
99,8339001000
100,4604003007
101,4604003004
102,4604002014
103,4106001010
104,1708002010
105,1708003014
106,1704001018
107,1005005006
108,1005005034
109,1005005016
110,1006004026
111,1003001025
112,1003001022
113,4305002003
114,2801002015
115,8330001064
116,902001017
117,1001003013
118,1104001033
119,1002003003
120,2513005008
121,1911005014
122,2502001012
123,1911002014
124,1911003009
125,2503001022
126,2507001012
127,2505003005
128,2504004013
129,2505002019
130,1906011004
131,8315001025
132,1913011037
133,1505013018
134,1505013003
135,1710002013
136,1503005007
137,1507001004
138,1904021029
139,2504002009
140,901002022
141,1105012005
142,1105022017
143,1001005015
144,1801002002
145,1913011014
146,1906013002
147,1904012036
148,1103004005
149,1505021012
150,1801001012
151,604001006
152,1506004014
153,8315001015
154,1006004053
155,1006002018
156,1002005011
157,902003021
158,1002005022
159,1904022007
160,1908004003
161,2502001009
162,2503002017
163,2502001017
164,1508004005
165,1503003006
166,1508005005
167,1102002008
168,2505004007
169,2504005003
170,2504005011
171,2505002011
172,6502001006
173,2505002007
174,1912001019
175,2503003003
176,2507004007
177,1904022015
178,1906023011
179,1504012010
180,1503007016
181,1504023031
182,1504021017
183,1507004002
184,1002006000
185,2306002002
186,2306003019
187,2306004004
188,1611002004
189,1203003002
190,1302001022
191,1302001010
192,1603003003
193,1602003001
194,1302001014
195,1403021009
196,1404002009
197,8318005027
198,8318004015
199,1610001010
200,1610002006
201,1603001009
202,1602001001
203,1602001002
204,1404005010
205,1404005005
206,1602004027
207,2222002013
208,1602004022
209,1602003009
210,1602004000
211,1601001021
212,1404005035
213,2315006007
214,8421005001
215,8421005005
216,2306001009
217,2306001003
218,3501002003
219,706002004
220,710002003
221,710002002
222,624001007
223,603002007
224,8378001002
225,2430002014
226,2406001000
227,2413001014
228,2106023013
229,2105021015
230,8311004024
231,2105011005
232,2209012001
233,2209012006
234,8311001000
235,715003001
236,801005014
237,814012004
238,101002002
239,103002012
240,2432002010
241,6502001007
242,8310001001
243,2222001026
244,2405001025
245,8423001014
246,8423001001
247,2402001024
248,8423001045
249,2435002009
250,2435002031
251,2801001033
252,714002003
253,715003006
254,801004009
255,801004006
256,801003000
257,803001002
258,814021012
259,813004004
260,101002007
261,101002012
262,2302001006
263,202002013
264,402022000
265,321005001
266,608001002
267,2106022002
268,2315001005
269,2308001003
270,8366001005
271,8366002007
272,2101001022
273,2109001041
274,717002007
275,2827002007
276,8383002001
277,812012010
278,815002011
279,815002012
280,816001011
281,8391001020
282,3201002027
283,3204001012
284,3201001019
285,102012017
286,102011008
287,508001020
288,511001001
289,514001005
290,8381002018
291,8330002012
292,2433002028
293,2434003002
294,2434001022
295,2420001006
296,2415002015
297,2435001010
298,8330001019
299,8396001007
300,8364003001
301,3902001002
302,8330002030
303,8381002010
304,2434003016
305,8423001091
306,2434002008
307,8396001006
308,8359002000
309,3801001005
310,4101002007
311,2827002022
312,8330002042
313,8330001017
314,8330001037
315,8370002017
316,8370001000
317,2431002004
318,2804001010
319,2804001006
320,2912001000
321,8415001000
322,2507003005
323,2421002000
324,2507002009
325,8313001036
326,2433002000
327,2434001011
328,8374002028
329,8374002035
330,8374002017
331,8374002021
332,2827002016
333,2827002008
334,8429004013
335,8429004029
336,2428001016
337,2428001000
338,2429001020
339,2428001041
340,2428001043
341,2429002002
342,2429002007
343,8378001027
344,2430001002
345,2433002013
346,2433002024
347,8330002023
348,8330002029
349,2434003000
350,2434002000
351,2435001007
352,208024001
353,208024008
354,207011023
355,207012003
356,207012013
357,208012000
358,208013018
359,207012018
360,208011019
361,302002012
362,301013001
363,2210002012
364,2228001006
365,2206021005
366,2206024016
367,2206024005
368,2206024007
369,2106022013
370,2206024010
371,2207023004
372,2207024006
373,2105021001
374,2105022007
375,2105012012
376,2105012002
377,8311003021
378,8311004012
379,8311004015
380,8311001018
381,8311004004
382,8311003015
383,8311003013
384,8311003006
385,1609001026
386,1608003007
387,1608005018
388,1608001011
389,1607004014
390,6503013026
391,6502002003
392,6501003010
393,6501002016
394,6501001003
395,6501001007
396,6501004008
397,6502001022
398,6502001013
399,6203002016
400,6204003001
401,6203001017
402,6203001006
403,6203006017
404,6203001022
405,6203001001
406,6201003009
407,6201002026
408,6309002017
409,6309002007
410,6309003018
411,6309003019
412,6604003002
413,6604001001
414,6309002018
415,6309001013
416,6309003007
417,6308002008
418,7109001025
419,7109001005
420,7109002043
421,7109002032
422,7302022020
423,7302022012
424,7302015014
425,7302022023
426,7302022022
427,7302023025
428,7304004001
429,7302011011
430,7301002005
431,7305004002
432,7301001016
433,7305004008
434,7305001017
435,7305001019
436,4906001015
437,4907002004
438,7305002023
439,4908003034
440,4908005015
441,4908005017
442,4907002019
443,4907003034
444,4911001010
445,4911001009
446,4911001014
447,4910003001
448,5501006002
449,5502002020
450,5502001004
451,5502001003
452,5401014001
453,5502002015
454,5502002010
455,1202004021
456,2207022020
457,2517001009
458,2307004019
459,2307003005
460,2307003025
461,4909022022
462,507001013
463,625001010
464,8326001009
465,8422001067
466,8422001066
467,8423002027
468,2801002023
469,406002013
470,406003000
471,2205001014
472,505005002
473,8437002002
474,8309001008
475,713002012
476,717001003
477,717002005
478,804001008
479,8383002005
480,818002000
481,501002014
482,506001018
483,8323001027
484,208013009
485,407001009
486,2435002011
487,8365001000
488,2431002015
489,2431001004
490,2431001000
491,2405001004
492,2422002005
493,8323001036
494,512002013
495,711001025
496,8326003017
497,8422001041
498,8391001043
499,8391001041
500,8391001063
501,103003000
502,301032005
503,632004001
504,207023005
505,207021009
506,202003005
507,203013026
508,402012004
509,402023004
510,402012014
511,1408004008
512,1605021001
513,1608005001
514,2106012003
515,308002005
516,311003002
517,1607004011
518,317001000
519,3514001012
520,8360001004
521,9800001014
522,1201003036
523,8382002044
524,5401021028
525,5501001089
526,5905001000
527,5905001013
528,5905001007
529,2505002000
530,2506001001
531,2508001009
532,2507005005
533,2507004002
534,2506004010
535,2508001013
536,2508001019
537,2506001015
538,2508002002
539,2502001018
540,8313001002
541,8383002012
542,2421003001
543,2421003005
544,2512004015
545,2512001010
546,2510001015
547,2423002011
548,818002014
549,2423002014
550,2424002022
551,2513002003
552,2511003007
553,2512003007
554,2514004004
555,2415002004
556,2519001012
557,2434002012
558,2435001019
559,3005002016
560,3007003002
561,3007003006
562,3007002001
563,8330002051
564,8330002045
565,8330002010
566,3009003000
567,8414001009
568,301023000
569,301032002
570,1006003006
571,1006004059
572,1006004063
573,1006004054
574,1006002017
575,1006002005
576,1006001017
577,1103001015
578,1006001012
579,1006001027
580,1006001028
581,1006002015
582,1006002001
583,1006002035
584,1103004002
585,1103001024
586,1103005004
587,1103005000
588,1105022025
589,1204003016
590,1101001023
591,1101001031
592,1105015004
593,1105015002
594,1105015006
595,1607002011
596,1607005004
597,1607003008
598,1607004000
599,1607004002
600,1607003000
601,1607003002
602,8309002010
603,8309002009
604,2204002019
605,8310002013
606,8310002009
607,8323001080
608,2213001011
609,2214001003
610,509001021
611,510001021
612,8437002033
613,2101003008
614,2101003005
615,2101003014
616,2101002024
617,2109001023
618,2109001022
619,2109001037
620,2108001008
621,2107001002
622,6308002012
623,6308003011
624,6308003007
625,6308004001
626,6603023006
627,6603021007
628,8350003009
629,6603011002
630,6603011018
631,6604002001
632,6603024009
633,6603011014
634,6606003004
635,8351001031
636,8350001004
637,8350001014
638,8350005012
639,8350005009
640,8350004005
641,8350002006
642,6606001002
643,6606002002
644,6608001007
645,6606001003
646,4909024019
647,4909023002
648,4909023011
649,4909021007
650,4908004009
651,4908001023
652,5001003010
653,5001003013
654,5001001020
655,5001001006
656,4701001032
657,8388001001
658,5103004013
659,5102002006
660,5103004035
661,5102001019
662,5101002035
663,5101001022
664,3301003000
665,2402001002
666,2809001001
667,2804001031
668,818002045
669,8412001002
670,506001015
671,8309001030
672,2705001021
673,3406001031
674,4305003003
675,4305003002
676,4805002073
677,5905001014
678,8403002007
679,8403002014
680,8428004012
681,6112001007
682,8403002011
683,7201002014
684,7111003023
685,8312001005
686,8419001003
687,2306006013
688,7005013010
689,3201002016
690,3302002010
691,1502005015
692,1502005009
693,1204002021
694,1511001004
695,1006004055
696,1006004014
697,1104001046
698,1105021015
699,1801004026
700,1901001016
701,1708002000
702,1002003010
703,7402004002
704,6605003000
705,610001000
706,2408002001
707,7004014004
708,2408001000
709,206013013
710,201001007
711,206023005
712,206023003
713,204003005
714,204002005
715,208022008
716,208014013
717,209021018
718,209011000
719,209013007
720,401003006
721,8423002036
722,8423002004
723,7401001015
724,7401002016
725,7205002042
726,7505002015
727,7004014007
728,6408001004
729,6401001009
730,5607001020
731,5607001018
732,6715003016
733,6608001012
734,7107004011
735,7207001006
736,7207001010
737,7207003001
738,7304004002
739,7302012008
740,7106002005
741,7106001005
742,7107001007
743,5306001031
744,5306001020
745,5305021043
746,7505004032
747,5705002011
748,5607002009
749,5608002018
750,5305012027
751,6103002005
752,6104001001
753,8348001001
754,8348002003
755,8346002025
756,6903002025
757,6302001001
758,6810004021
759,5001001028
760,4701002035
761,4909023029
762,4409003008
763,6809001031
764,6912002022
765,3006001009
766,4909012030
767,4701002011
768,4701002048
769,4408001000
770,4701002017
771,4701002001
772,4401021009
773,5002002013
774,4909021031
775,4909012009
776,4913001015
777,6303001010
778,4908005012
779,4905002031
780,4911001020
781,5302004055
782,6701002002
783,6115002013
784,6809001012
785,3012001003
786,6007002003
787,8404001002
788,8404001024
789,8404001030
790,8404001039
791,8404001025
792,8404001045
793,8351001028
794,8351001017
795,7107002010
796,7108005007
797,6814004007
798,6716002008
799,6713002003
800,6204002011
801,6309001021
802,6203001002
803,4110001000
804,3201003013
805,4109003005
806,4307001002
807,4110003012
808,4110003006
809,8368001004
810,2516001002
811,2512002004
812,2512003001
813,9800001091
814,7608021045
815,8104003039
816,4201001022
817,2808001009
818,8380001025
819,8410001036
820,3204001027
821,3204001029
822,6608003002
823,6610004003
824,7004012007
825,7005021012
826,7403003015
827,7003021018
828,104003011
829,1002003011
830,105031010
831,105031009
832,1003006004
833,1708001010
834,1402003020
835,1507004006
836,1204002017
837,1203003010
838,1203002016
839,303001004
840,5501001005
841,4201001024
842,4109003003
843,3301004014
844,2819003014
845,3406001013
846,8359002007
847,6007002043
848,8428004017
849,8413004023
850,7608021041
851,8421003009
852,4805002007
853,818002022
854,8411001016
855,5003001019
856,1007001007
857,8365002020
858,6611002004
859,7205001008
860,8418002018
861,5305011031
862,2504001006
863,1203004005
864,1203006009
865,1203005021
866,1203002020
867,1602003007
868,1601002014
869,1601002006
870,1404002004
871,1302001012
872,1302001011
873,1611002012
874,1508005011
875,1508005004
876,1510011000
877,1903001018
878,1903001006
879,1511002007
880,3016001001
881,8435001033
882,3018011000
883,3018011001
884,3018032011
885,3017023006
886,3016002010
887,8408002005
888,8305003017
889,8305002009
890,3011002002
891,5806003014
892,2307004001
893,2309001011
894,2425002015
895,2425001015
896,2425001017
897,2428001037
898,2429001011
899,2429001002
900,8324001020
901,2424001008
902,502002014
903,508001003
904,2315004007
905,715006005
906,801006001
907,812011002
908,812011004
909,8403003013
910,8403002020
911,8403002021
912,8403002025
913,105013002
914,5805013003
915,5805013015
916,5805013013
917,5805014001
918,5805012012
919,5805023004
920,5802002003
921,5802002026
922,5807002023
923,5806003007
924,5806003003
925,5805021003
926,5805022009
927,5805023002
928,5804001018
929,8428003011
930,8428006008
931,5804001004
932,5804004003
933,5804002017
934,5804004008
935,5804001012
936,5804003019
937,5806003016
938,2519004014
939,2519004007
940,2504004006
941,2504004008
942,2504004000
943,2504003008
944,2504002019
945,2504002020
946,2503003006
947,2229001015
948,2228001010
949,2305002018
950,2305002012
951,8431001030
952,2912002016
953,8387004013
954,8387002003
955,8387002004
956,2924002000
957,2922003002
958,2924002016
959,8413003001
960,8414002020
961,8414002009
962,8416001013
963,8431002014
964,8431001027
965,3108001005
966,3109001010
967,3109001017
968,3109002001
969,8413004000
970,8413003002
971,8413003015
972,8432002016
973,810004000
974,8330001051
975,2832001010
976,8429003001
977,3106002004
978,1102001012
979,1105015005
980,1105015014
981,1404003000
982,1104001044
983,1104003008
984,1103005014
985,402022015
986,403002017
987,402024013
988,8318002013
989,1403023017
990,2212002002
991,2212002006
992,2213001007
993,2203001016
994,2215002011
995,2215002006
996,2215001012
997,2215001015
998,2215002027
999,2215001014
1000,2215001027
1001,628003015
1002,2216001024
1003,2216002024
1004,2216002029
1005,2216002017
1006,2216001036
1007,2216001037
1008,8322003005
1009,8322002028
1010,8323001061
1011,8323001074
1012,627003008
1013,705003009
1014,8322001012
1015,8322001014
1016,2216001005
1017,706001005
1018,6609003024
1019,6610001010
1020,6610001025
1021,6610001029
1022,6610005009
1023,6610004001
1024,6611001000
1025,6611003018
1026,6611003010
1027,6611004003
1028,6611005022
1029,6611005017
1030,6504004015
1031,6504004021
1032,6504003010
1033,7001001051
1034,7001001053
1035,7001001042
1036,7001001029
1037,7001001039
1038,7004011015
1039,7005014006
1040,7004011036
1041,7004011045
1042,7004011020
1043,7004011061
1044,7004011043
1045,7004014012
1046,7004014014
1047,7005015002
1048,5101001013
1049,5102001013
1050,5103004010
1051,4804003024
1052,4804003026
1053,4805002016
1054,4610001051
1055,4610001011
1056,8339002015
1057,8339002005
1058,8339002006
1059,4805001000
1060,4805003017
1061,4805001006
1062,4805001004
1063,4804001012
1064,4804001014
1065,4605007016
1066,4503001009
1067,6915002007
1068,6909002000
1069,8418002017
1070,6909003002
1071,4304001002
1072,4303002005
1073,4304002003
1074,4304001012
1075,4305003008
1076,4305001000
1077,1405003020
1078,1912001002
1079,2004021012
1080,2206012000
1081,2206012002
1082,8323001058
1083,2106023001
1084,8326002009
1085,8326002008
1086,102012040
1087,4907003021
1088,5001002017
1089,5103003010
1090,5103003000
1091,4805003010
1092,4605005014
1093,8418001029
1094,3301002014
1095,8391001068
1096,1511001006
1097,901002009
1098,901001000
1099,901002005
1100,1001002038
1101,1101002006
1102,1710003005
1103,1710003008
1104,1006002010
1105,1002005012
1106,1006004050
1107,1006001021
1108,1002004013
1109,1912001017
1110,1907023015
1111,2506001011
1112,1104003013
1113,1904011022
1114,1006001031
1115,1103002024
1116,1103003004
1117,1103003020
1118,1512003000
1119,1711002005
1120,1904011002
1121,1711002022
1122,1711002011
1123,1511003003
1124,901001014
1125,1201003007
1126,1201003012
1127,1006001010
1128,2506004017
1129,1913022007
1130,1912002010
1131,1504012016
1132,1104002005
1133,1505023010
1134,1505013022
1135,1702003005
1136,1711003001
1137,1006002014
1138,1007004007
1139,1003004010
1140,903001023
1141,903001021
1142,903001038
1143,1006004017
1144,1103002008
1145,1103002010
1146,1504023033
1147,1711002023
1148,1613001014
1149,1613002015
1150,1613002014
1151,2104001000
1152,1203001000
1153,1203001020
1154,1903004019
1155,2502002005
1156,8313001008
1157,2508002014
1158,1502002024
1159,1508003007
1160,1508003015
1161,1508002007
1162,1909001016
1163,1303003027
1164,1301003021
1165,1301001008
1166,1303004012
1167,1511002004
1168,1903001008
1169,1201002007
1170,1201002005
1171,1105015019
1172,1204003017
1173,1510021008
1174,8312003015
1175,1613004006
1176,1302001001
1177,1203002011
1178,1403021007
1179,1403023011
1180,1303002004
1181,1301002004
1182,8318005021
1183,2002002019
1184,2001003028
1185,2004012012
1186,8421001010
1187,2305002002
1188,2511002006
1189,1302001041
1190,1405002005
1191,1908003011
1192,1903003006
1193,1903003008
1194,2502001015
1195,2502001000
1196,2512001003
1197,2507002016
1198,1503002015
1199,1508003005
1200,2206022002
1201,2315002018
1202,8366001002
1203,2301001021
1204,206011003
1205,203022011
1206,401001009
1207,1606023006
1208,1606023001
1209,306012000
1210,306043000
1211,105022002
1212,105021007
1213,2001002013
1214,2315006025
1215,2207022000
1216,2105021018
1217,2207013003
1218,2209021014
1219,2307004008
1220,2312004005
1221,1406011026
1222,1301003039
1223,1908005002
1224,8313001013
1225,2002003004
1226,2002003012
1227,1901001023
1228,1902004008
1229,2305001000
1230,6603011012
1231,2425001003
1232,2411002021
1233,2425001008
1234,208023009
1235,8326002007
1236,8423002007
1237,8322002026
1238,8326002018
1239,8422001028
1240,8423001022
1241,311001002
1242,8307002006
1243,107022002
1244,8306003006
1245,8388002108
1246,6603011015
1247,3201002007
1248,8391001004
1249,8364001017
1250,8366001014
1251,8366001016
1252,8366001021
1253,8366001023
1254,8324002013
1255,2408001004
1256,2407001017
1257,2408001002
1258,8366001003
1259,2427001013
1260,2427001004
1261,2410002007
1262,2426001010
1263,2414003017
1264,2416002003
1265,2423001007
1266,2422001026
1267,8419001013
1268,8333001007
1269,2109001027
1270,8325002007
1271,703001013
1272,8382002025
1273,2924002024
1274,3108003014
1275,3106001007
1276,3102002011
1277,204003000
1278,4912003010
1279,7506001022
1280,7506003024
1281,4909022035
1282,5001001015
1283,6304003004
1284,6719001037
1285,6720002014
1286,7104001003
1287,6606004008
1288,6603011008
1289,6608002004
1290,6502001003
1291,6009004017
1292,8397001013
1293,5907002001
1294,8351001002
1295,8351003018
1296,6813003008
1297,6204001012
1298,5001003001
1299,5501002016
1300,5501002017
1301,5501002021
1302,5501002013
1303,8402001003
1304,5501001006
1305,8439001029
1306,4302005013
1307,4302005008
1308,6007002037
1309,8355002002
1310,1103001011
1311,715001010
1312,1603002005
1313,1603002008
1314,8419001060
1315,8419001050
1316,8343002008
1317,8346003031
1318,6903002002
1319,3301004009
1320,8352001045
1321,5611001020
1322,4314003004
1323,8309001043
1324,8355002012
1325,6809004001
1326,301022000
1327,3301002006
1328,815001002
1329,801005007
1330,4205001003
1331,2838001005
1332,633012000
1333,619022001
1334,701021001
1335,4108002006
1336,4301021003
1337,1005004004
1338,8367002050
1339,2519001000
1340,2601001016
1341,2609002009
1342,2715001001
1343,8413003020
1344,3107001016
1345,3206002001
1346,1507003001
1347,1101003015
1348,1105014005
1349,1408002015
1350,1707003017
1351,8322001006
1352,2107003006
1353,2924002035
1354,8329001008
1355,1201003035
1356,2301001007
1357,5610006018
1358,5611003013
1359,5611003012
1360,5608005004
1361,5608005019
1362,5602003004
1363,8330001036
1364,5602002000
1365,6309002016
1366,6608002000
1367,3902002007
1368,3902002010
1369,8381001006
1370,8381002028
1371,3801001032
1372,8331003022
1373,8330002105
1374,8381002032
1375,8359003015
1376,8360003002
1377,2909004021
1378,2925003007
1379,8434001043
1380,3008002010
1381,3009001010
1382,3008001006
1383,3011001006
1384,8407002006
1385,3012003013
1386,3012003014
1387,3012003008
1388,3012001002
1389,8407003008
1390,8407003012
1391,8407003014
1392,8431002016
1393,6608002006
1394,6607002008
1395,6609001013
1396,6610001011
1397,6609002000
1398,6609003041
1399,4910003000
1400,4910001003
1401,4909022006
1402,4910003012
1403,4911002007
1404,4910004014
1405,4909022041
1406,4909022004
1407,4908004008
1408,4909022027
1409,3906002005
1410,4805002027
1411,4801001030
1412,4805002004
1413,7001002031
1414,8425001016
1415,7608012005
1416,8429004017
1417,1606021006
1418,8382002050
1419,8323001018
1420,2808001006
1421,2304002005
1422,2407001005
1423,203012007
1424,703002002
1425,901004029
1426,901003003
1427,1001002003
1428,1201004018
1429,1201003000
1430,1101002010
1431,1101004007
1432,1105022001
1433,1001002023
1434,1801004007
1435,1913022033
1436,2504003001
1437,1002007013
1438,1001004009
1439,2513005009
1440,1907012013
1441,318001013
1442,602002005
1443,602002008
1444,604001015
1445,2205002008
1446,2213003005
1447,303001018
1448,107022006
1449,317003000
1450,601003001
1451,601003002
1452,601002002
1453,605001004
1454,605001007
1455,704003001
1456,705001008
1457,2520003005
1458,8367002013
1459,8367002012
1460,8367002024
1461,2315002003
1462,8386002010
1463,2435001040
1464,2435002044
1465,8330001035
1466,8330001020
1467,2909004013
1468,2909001005
1469,2909003005
1470,2909003011
1471,2504001007
1472,1401002005
1473,1401002010
1474,403003015
1475,402024001
1476,1403021010
1477,1403011007
1478,1601002001
1479,1404004005
1480,1404004010
1481,1404004011
1482,1404003019
1483,1404004014
1484,1404002010
1485,8318005001
1486,8318002010
