FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,TRACT,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,H0010001,H0010002,H0010003
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Census Tract,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,Institutionalized population:,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population:,College/University student housing,Military quarters,Other noninstitutional facilities,Total:,Occupied,Vacant
PLST,MA,140,1400000US25025000101,25025000101,1,1,25,25,,101,1876,1211,83,183,274,7,0,39,79,1723,1130,70,166,248,6,0,36,67,10,0,0,0,0,0,10,0,0,10,726,697,29
PLST,MA,140,1400000US25025000102,25025000102,1,1,25,25,,102,3714,1565,298,554,883,8,2,177,227,3110,1405,211,411,773,8,2,137,163,17,7,0,7,0,0,10,0,0,10,1695,1606,89
PLST,MA,140,1400000US25025000201,25025000201,1,1,25,25,,201,3953,2712,138,422,421,1,0,101,158,3545,2518,116,321,370,1,0,85,134,45,6,0,6,0,0,39,0,0,39,1608,1544,64
PLST,MA,140,1400000US25025000202,25025000202,1,1,25,25,,202,4148,2394,221,778,536,1,0,64,154,3520,2177,175,546,477,1,0,43,101,41,0,0,0,0,0,41,0,0,41,1606,1539,67
PLST,MA,140,1400000US25025000301,25025000301,1,1,25,25,,301,3136,2218,120,265,403,0,1,30,99,2872,2067,107,226,360,0,1,29,82,100,99,0,0,99,0,1,0,0,1,1337,1290,47
PLST,MA,140,1400000US25025000302,25025000302,1,1,25,25,,302,3072,2022,91,233,550,0,3,52,121,2822,1898,85,191,501,0,3,41,103,15,0,0,0,0,0,15,0,0,15,1371,1323,48
PLST,MA,140,1400000US25025000401,25025000401,1,1,25,25,,401,5853,3717,177,445,1242,6,2,42,222,5439,3443,170,380,1192,6,2,40,206,0,0,0,0,0,0,0,0,0,0,3054,2957,97
PLST,MA,140,1400000US25025000402,25025000402,1,1,25,25,,402,3644,2526,93,220,610,4,0,57,134,3218,2231,92,204,543,4,0,38,106,150,0,0,0,0,0,150,55,0,95,1621,1510,111
PLST,MA,140,1400000US25025000502,25025000502,1,1,25,25,,502,6986,5158,343,531,690,27,22,34,181,6744,4997,338,503,668,26,22,34,156,3447,0,0,0,0,0,3447,3438,0,9,2152,2024,128
PLST,MA,140,1400000US25025000503,25025000503,1,1,25,25,,503,2418,1621,82,212,381,7,0,14,101,2340,1583,81,203,367,4,0,11,91,0,0,0,0,0,0,0,0,0,0,1479,1412,67
PLST,MA,140,1400000US25025000505,25025000505,1,1,25,25,,505,2196,1383,142,243,328,0,0,23,77,2079,1330,135,207,315,0,0,22,70,141,141,0,0,141,0,0,0,0,0,1084,1049,35
PLST,MA,140,1400000US25025000506,25025000506,1,1,25,25,,506,2895,2000,75,207,477,6,0,18,112,2772,1940,73,189,463,6,0,14,87,10,0,0,0,0,0,10,0,0,10,1640,1569,71
PLST,MA,140,1400000US25025000601,25025000601,1,1,25,25,,601,3758,2333,93,402,686,3,1,49,191,3417,2183,79,318,647,3,1,34,152,101,26,0,0,26,0,75,0,0,75,1610,1542,68
PLST,MA,140,1400000US25025000603,25025000603,1,1,25,25,,603,1757,401,396,445,420,0,0,10,85,1460,388,287,317,383,0,0,9,76,56,56,0,0,0,56,0,0,0,0,1012,866,146
PLST,MA,140,1400000US25025000604,25025000604,1,1,25,25,,604,2591,1377,110,361,550,1,1,51,140,2390,1330,101,296,509,1,1,43,109,10,0,0,0,0,0,10,0,0,10,1337,1293,44
PLST,MA,140,1400000US25025000701,25025000701,1,1,25,25,,701,4517,2644,145,419,1045,3,0,47,214,4319,2592,127,372,992,3,0,40,193,8,0,0,0,0,0,8,0,0,8,2384,2304,80
PLST,MA,140,1400000US25025000703,25025000703,1,1,25,25,,703,2442,1250,99,248,726,3,0,15,101,2360,1216,95,229,711,3,0,13,93,12,0,0,0,0,0,12,0,0,12,1375,1315,60
PLST,MA,140,1400000US25025000704,25025000704,1,1,25,25,,704,5312,2669,287,699,1387,2,4,58,206,4929,2543,243,583,1318,0,3,49,190,13,0,0,0,0,0,13,0,0,13,2735,2645,90
PLST,MA,140,1400000US25025000804,25025000804,1,1,25,25,,804,3813,1661,217,818,824,5,4,70,214,3298,1527,167,624,754,0,4,53,169,22,0,0,0,0,0,22,0,0,22,1524,1444,80
PLST,MA,140,1400000US25025000805,25025000805,1,1,25,25,,805,4616,2194,176,532,1437,4,0,64,209,4327,2103,159,442,1379,3,0,53,188,559,0,0,0,0,0,559,559,0,0,1956,1805,151
PLST,MA,140,1400000US25025000806,25025000806,1,1,25,25,,806,1972,949,150,208,530,0,4,10,121,1844,904,148,183,499,0,4,10,96,475,0,0,0,0,0,475,475,0,0,1055,788,267
PLST,MA,140,1400000US25025000807,25025000807,1,1,25,25,,807,2282,1225,204,210,520,0,10,0,113,2269,1223,201,203,520,0,10,0,112,2180,0,0,0,0,0,2180,2180,0,0,40,40,0
PLST,MA,140,1400000US25025010103,25025010103,1,1,25,25,,10103,4697,2661,352,513,942,13,4,55,157,4667,2648,352,513,938,9,4,50,153,4156,0,0,0,0,0,4156,4151,0,5,420,366,54
PLST,MA,140,1400000US25025010104,25025010104,1,1,25,25,,10104,5063,3135,184,533,962,19,1,38,191,4946,3056,184,523,946,18,1,31,187,1975,0,0,0,0,0,1975,1960,0,15,2125,1963,162
PLST,MA,140,1400000US25025010204,25025010204,1,1,25,25,,10204,3443,1690,168,265,1097,0,12,32,179,3346,1651,157,253,1076,0,10,30,169,1480,0,0,0,0,0,1480,1463,0,17,1338,1165,173
PLST,MA,140,1400000US25025010205,25025010205,1,1,25,25,,10205,4906,2343,217,417,1667,7,0,43,212,4646,2240,198,386,1594,2,0,42,184,135,53,53,0,0,0,82,82,0,0,3272,2963,309
PLST,MA,140,1400000US25025010206,25025010206,1,1,25,25,,10206,2154,1040,50,223,749,0,0,9,83,2075,1005,48,207,731,0,0,5,79,15,0,0,0,0,0,15,0,0,15,1384,1291,93
PLST,MA,140,1400000US25025010300,25025010300,1,1,25,25,,10300,5186,3584,329,486,608,4,4,19,152,5142,3581,316,469,604,4,4,17,147,4624,0,0,0,0,0,4624,4624,0,0,366,317,49
PLST,MA,140,1400000US25025010403,25025010403,1,1,25,25,,10403,3179,1571,246,332,859,1,2,21,147,3041,1530,232,285,844,1,0,20,129,0,0,0,0,0,0,0,0,0,0,2203,2039,164
PLST,MA,140,1400000US25025010404,25025010404,1,1,25,25,,10404,5747,3291,394,535,1247,0,24,19,237,5609,3257,360,512,1215,0,24,19,222,2617,0,0,0,0,0,2617,2554,0,63,1896,1670,226
PLST,MA,140,1400000US25025010405,25025010405,1,1,25,25,,10405,6853,3793,683,547,1332,5,0,164,329,6707,3753,663,496,1316,5,0,159,315,5096,261,0,0,261,0,4835,4750,0,85,1005,912,93
PLST,MA,140,1400000US25025010408,25025010408,1,1,25,25,,10408,1438,821,39,194,311,0,0,8,65,1389,805,37,173,305,0,0,8,61,0,0,0,0,0,0,0,0,0,0,981,903,78
PLST,MA,140,1400000US25025010500,25025010500,1,1,25,25,,10500,3876,2086,306,300,987,5,3,30,159,3697,2012,271,283,964,5,3,26,133,1059,219,0,0,219,0,840,840,0,0,1940,1654,286
