TRACT_NAME,GEOID_TRACT,GEOID_NUM,POPULATION_2010,HISPANIC_2010,WHITE_2010,BLACK_2010,NATIVE_AM_2010,ASIAN_2010,HAWPACIS_2010,OTHER_2010,TWO_OR_MORE_2010,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_AMERIND,PCT_ASIAN,PCT_HAW_PACIS,PCT_OTHER_RACE,PCT_TWO_OR_MORE_RACES,HOUSINGUNITS_2010,OCCUPIEDUNITS_2010,VACANTUNITS_2010,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_18_AND_19,AGE_20,AGE_21,AGE_22_TO_24,AGE_25_TO_29,AGE_30_TO_34,AGE_35_TO_39,AGE_40_TO_44,AGE_45_TO_49,AGE_50_TO_54,AGE_55_TO_59,AGE_60_AND_61,AGE_62_TO_64,AGE_65_AND_66,AGE_67_TO_69,AGE_70_TO_74,AGE_75_TO_79,AGE_80_TO_84,AGE_85_PLUS,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGE_LESS_18,AGE_65_PLUS,PCT_LESS_18,PCT_65_PLUS,MED_AGE,MED_AGE_MALE,MED_AGE_FEMALE,AVG_HH_SIZE,NUM_HOUSEHOLDS,ONE_PERSON_HH,ONE_PERSON_HH_MALE,ONE_PERSON_HH_FEMALE,TWO_OR_MORE_PERSON_HH,FAMILY_HHLD,HUSB_WIFE_FAM,HUSB_WIFE_NO_CHILD,HUSB_WIFE_W_CHLDR,OTHER_FAMILY,MALE_HHLDR_NO_WIFE,MALE_HHLDR_W_CHLDR,MALE_HHLDR_NO_CHILDR,FEMALE_HHLDR_NO_HUSB,FEMALE_HHLDR_W_CHILDR,FEMALE_HHLDR_NO_CHILDR,NON_FAMILY_HH,NON_FAMILY_MALE_HHLDR,NON_FAMILY_FEMALE_HHLDR,HH_W_NONRELATIVES,HH_NO_NONRELATIVES,FAMILIES,AVG_FAM_SIZE,POP_GROUP_QRTRS,GQ_INSTITUTIONALIZED,GQ_CORRECTIONAL_FAC,GQ_JUVENILE_FAC,GQ_NURSING_FAC,GQ_OTHER_INST_FAC,GQ_NONINSTITUTIONAL,GQ_COLLEGEHOUSING,GQ_MILITARYQUARTERS,GQ_OTHER_NONINST,NONHISPANIC,MEXICAN,PUERTO_RICAN,CUBAN,DOMINICAN,CENTRAL_AMERICAN,SOUTH_AMERICAN,OTHER_HISPANIC,HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNED_W_MORTG_LOAN,OWNED_FREE_CLEAR,RENTED,VACANT_FOR_RENT,VACANT_RENTED_NOT_OCC,VACANT_FOR_SALE,VACANT_SOLD_NOT_OCC,VACANT_SEASONAL,VACANT_MIGRANT_WRKR,VACANT_OTHER,AVG_HH_SIZE_OCC_HU,AVG_HH_SIZE_OWNED,AVG_HH_SIZE_RENTED,HU_OWNED,OWNED_AGE_15_TO_24,OWNED_AGE_25_TO_34,OWNED_AGE_35_TO_44,OWNED_AGE_45_TO_54,OWNED_AGE_55_TO_59,OWNED_AGE_60_TO_64,OWNED_AGE_65_TO_74,OWNED_AGE_75_TO_84,OWNED_AGE_85_PLUS,HU_RENTED,RENTED_AGE_15_TO_24,RENTED_AGE_25_TO_34,RENTED_AGE_35_TO_44,RENTED_AGE_45_TO_54,RENTED_AGE_55_TO_59,RENTED_AGE_60_TO_64,RENTED_AGE_65_TO_74,RENTED_AGE_75_TO_84,RENTED_AGE_85_PLUS,SHAPE_Length,SHAPE_Area
Census Tract 17.01,08031001701,8031001701.0,4350.0,290.0,3539.0,94.0,16.0,327.0,1.0,2.0,81.0,6.67,81.36,2.16,0.37,7.52,0.02,0.05,1.86,3618.0,3070.0,548.0,2353.0,1997.0,77.0,16.0,13.0,9.0,29.0,28.0,37.0,253.0,762.0,578.0,386.0,267.0,244.0,284.0,301.0,105.0,218.0,106.0,152.0,199.0,144.0,84.0,58.0,93.0,51.0,1080.0,964.0,511.0,585.0,581.0,343.0,142.0,115.0,743.0,2.64,17.08,39.8,39.8,39.9,1.42,3070.0,1935.0,1096.0,839.0,1135.0,751.0,665.0,65.0,600.0,86.0,39.0,12.0,27.0,47.0,14.0,33.0,384.0,229.0,155.0,393.0,2677.0,751.0,2.15,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4060.0,177.0,10.0,10.0,0.0,8.0,14.0,71.0,3618.0,3070.0,548.0,965.0,262.0,1843.0,170.0,20.0,51.0,4.0,284.0,0.0,19.0,1.42,1.55,1.32,1227.0,34.0,303.0,229.0,187.0,132.0,128.0,142.0,60.0,12.0,1843.0,175.0,653.0,255.0,204.0,96.0,97.0,195.0,127.0,41.0,0.0464371205583,0.000119965829809
Census Tract 17.02,08031001702,8031001702.0,3648.0,355.0,2744.0,254.0,34.0,122.0,4.0,14.0,121.0,9.73,75.22,6.96,0.93,3.34,0.11,0.38,3.32,3257.0,2363.0,894.0,2016.0,1632.0,50.0,19.0,6.0,9.0,440.0,252.0,164.0,460.0,640.0,332.0,197.0,178.0,161.0,201.0,189.0,67.0,65.0,30.0,53.0,58.0,35.0,26.0,16.0,69.0,455.0,1516.0,529.0,339.0,390.0,215.0,93.0,42.0,84.0,218.0,2.3,5.98,28.0,29.9,26.3,1.32,2363.0,1767.0,1026.0,741.0,596.0,303.0,216.0,21.0,195.0,87.0,37.0,10.0,27.0,50.0,15.0,35.0,293.0,163.0,130.0,305.0,2058.0,303.0,2.19,536.0,0.0,0.0,0.0,0.0,0.0,536.0,432.0,0.0,104.0,3293.0,233.0,18.0,7.0,1.0,7.0,10.0,79.0,3257.0,2363.0,894.0,309.0,78.0,1976.0,186.0,6.0,501.0,28.0,155.0,0.0,18.0,1.32,1.38,1.31,387.0,17.0,97.0,77.0,48.0,39.0,36.0,50.0,18.0,5.0,1976.0,638.0,619.0,215.0,216.0,117.0,68.0,63.0,30.0,10.0,0.0425339473151,0.000117325779201
Census Tract 18,08031001800,8031001800.0,3209.0,1091.0,1810.0,128.0,33.0,75.0,0.0,10.0,62.0,34.0,56.4,3.99,1.03,2.34,0.0,0.31,1.93,1851.0,1727.0,124.0,1703.0,1506.0,134.0,98.0,86.0,47.0,97.0,105.0,109.0,405.0,569.0,297.0,251.0,166.0,158.0,174.0,177.0,52.0,64.0,30.0,43.0,51.0,44.0,28.0,24.0,232.0,230.0,1188.0,548.0,324.0,351.0,189.0,95.0,52.0,365.0,220.0,11.37,6.86,29.5,29.8,29.1,1.81,1727.0,847.0,475.0,372.0,880.0,453.0,241.0,79.0,162.0,212.0,60.0,22.0,38.0,152.0,63.0,89.0,427.0,236.0,191.0,473.0,1254.0,453.0,2.9,89.0,71.0,0.0,0.0,28.0,43.0,18.0,0.0,0.0,18.0,2118.0,811.0,19.0,2.0,1.0,7.0,26.0,225.0,1851.0,1727.0,124.0,418.0,78.0,1231.0,70.0,3.0,15.0,3.0,16.0,0.0,17.0,1.81,1.81,1.8,496.0,23.0,155.0,125.0,62.0,47.0,27.0,33.0,14.0,10.0,1231.0,328.0,337.0,136.0,166.0,82.0,56.0,71.0,45.0,10.0,0.0476323986954,0.000102464203116
Census Tract 19.01,08031001901,8031001901.0,2910.0,1416.0,708.0,565.0,28.0,88.0,1.0,11.0,93.0,48.66,24.33,19.42,0.96,3.02,0.03,0.38,3.2,1052.0,1014.0,38.0,1423.0,1487.0,313.0,311.0,232.0,144.0,80.0,45.0,38.0,162.0,311.0,239.0,208.0,157.0,140.0,124.0,104.0,35.0,57.0,31.0,34.0,59.0,38.0,27.0,21.0,624.0,456.0,556.0,447.0,297.0,228.0,157.0,97.0,48.0,1000.0,210.0,34.36,7.22,27.3,27.2,27.3,2.64,1014.0,312.0,175.0,137.0,702.0,591.0,186.0,89.0,97.0,405.0,63.0,31.0,32.0,342.0,259.0,83.0,111.0,58.0,53.0,178.0,836.0,591.0,3.41,230.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,230.0,1494.0,1076.0,23.0,14.0,5.0,10.0,8.0,280.0,1052.0,1014.0,38.0,210.0,56.0,748.0,12.0,0.0,5.0,0.0,2.0,0.0,19.0,2.64,2.41,2.72,266.0,7.0,67.0,59.0,46.0,25.0,24.0,23.0,12.0,3.0,748.0,97.0,224.0,137.0,87.0,43.0,32.0,78.0,36.0,14.0,0.0640750226518,0.000245192653688
Census Tract 19.02,08031001902,8031001902.0,705.0,62.0,555.0,27.0,5.0,29.0,2.0,1.0,24.0,8.79,78.72,3.83,0.71,4.11,0.28,0.14,3.4,69.0,60.0,9.0,352.0,353.0,1.0,0.0,0.0,6.0,424.0,85.0,34.0,51.0,34.0,7.0,14.0,8.0,4.0,13.0,8.0,7.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,430.0,204.0,21.0,12.0,21.0,12.0,3.0,1.0,7.0,6.0,0.99,0.85,19.7,19.8,19.6,1.4,60.0,37.0,27.0,10.0,23.0,15.0,13.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,5.0,3.0,8.0,52.0,15.0,2.07,621.0,0.0,0.0,0.0,0.0,0.0,621.0,621.0,0.0,0.0,643.0,39.0,1.0,0.0,0.0,0.0,6.0,16.0,69.0,60.0,9.0,34.0,5.0,21.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,1.4,1.41,1.38,39.0,1.0,3.0,10.0,8.0,4.0,9.0,3.0,1.0,0.0,21.0,4.0,6.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0556631874151,0.000175681196345
Census Tract 20,08031002000,8031002000.0,1577.0,151.0,1230.0,81.0,10.0,60.0,0.0,0.0,45.0,9.58,78.0,5.14,0.63,3.8,0.0,0.0,2.85,1345.0,1140.0,205.0,886.0,691.0,23.0,8.0,6.0,7.0,14.0,12.0,16.0,106.0,338.0,231.0,125.0,121.0,123.0,101.0,124.0,44.0,71.0,26.0,25.0,27.0,15.0,11.0,3.0,31.0,27.0,472.0,356.0,244.0,225.0,166.0,42.0,14.0,44.0,107.0,2.79,6.79,35.8,37.9,33.5,1.38,1140.0,744.0,453.0,291.0,396.0,222.0,180.0,13.0,167.0,42.0,16.0,7.0,9.0,26.0,14.0,12.0,174.0,112.0,62.0,179.0,961.0,222.0,2.12,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1426.0,76.0,7.0,2.0,0.0,4.0,8.0,54.0,1345.0,1140.0,205.0,242.0,52.0,846.0,99.0,3.0,23.0,7.0,60.0,0.0,13.0,1.38,1.49,1.34,294.0,0.0,49.0,56.0,60.0,33.0,53.0,32.0,11.0,0.0,846.0,91.0,370.0,129.0,124.0,64.0,36.0,22.0,8.0,2.0,0.0421670325049,8.26981987131e-05
Census Tract 13.02,08031001302,8031001302.0,3926.0,2890.0,887.0,41.0,42.0,41.0,0.0,2.0,23.0,73.61,22.59,1.04,1.07,1.04,0.0,0.05,0.59,1340.0,1252.0,88.0,2039.0,1887.0,365.0,358.0,289.0,178.0,113.0,59.0,59.0,165.0,343.0,329.0,332.0,240.0,212.0,216.0,209.0,65.0,92.0,39.0,46.0,68.0,53.0,43.0,53.0,723.0,580.0,626.0,661.0,452.0,425.0,242.0,121.0,96.0,1190.0,302.0,30.31,7.69,30.4,30.2,30.6,3.14,1252.0,266.0,150.0,116.0,986.0,881.0,563.0,315.0,248.0,318.0,106.0,48.0,58.0,212.0,115.0,97.0,105.0,66.0,39.0,219.0,1033.0,881.0,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.0,2361.0,6.0,3.0,1.0,61.0,10.0,448.0,1340.0,1252.0,88.0,593.0,206.0,453.0,30.0,2.0,21.0,3.0,5.0,0.0,27.0,3.14,2.83,3.67,799.0,13.0,121.0,177.0,148.0,84.0,73.0,86.0,62.0,35.0,453.0,41.0,149.0,120.0,80.0,25.0,19.0,10.0,4.0,5.0,0.0631744053621,0.000222143272871
Census Tract 14.01,08031001401,8031001401.0,5750.0,4107.0,1056.0,126.0,46.0,367.0,4.0,21.0,23.0,71.43,18.37,2.19,0.8,6.38,0.07,0.37,0.4,2117.0,1971.0,146.0,2933.0,2817.0,524.0,445.0,404.0,272.0,178.0,61.0,76.0,231.0,433.0,391.0,406.0,336.0,360.0,354.0,292.0,103.0,176.0,68.0,155.0,185.0,124.0,96.0,80.0,969.0,854.0,801.0,797.0,696.0,646.0,502.0,309.0,176.0,1645.0,708.0,28.61,12.31,33.1,32.1,34.5,2.92,1971.0,626.0,288.0,338.0,1345.0,1232.0,790.0,400.0,390.0,442.0,156.0,71.0,85.0,286.0,155.0,131.0,113.0,74.0,39.0,279.0,1692.0,1232.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.0,3273.0,12.0,2.0,4.0,89.0,10.0,717.0,2117.0,1971.0,146.0,715.0,208.0,1048.0,75.0,2.0,28.0,8.0,2.0,0.0,31.0,2.92,3.1,2.76,923.0,14.0,136.0,161.0,193.0,89.0,81.0,119.0,88.0,42.0,1048.0,50.0,186.0,179.0,188.0,100.0,85.0,167.0,72.0,21.0,0.076509708989,0.000219269265523
Census Tract 14.02,08031001402,8031001402.0,4070.0,2690.0,996.0,109.0,42.0,200.0,0.0,1.0,32.0,66.09,24.47,2.68,1.03,4.91,0.0,0.02,0.79,1423.0,1353.0,70.0,1982.0,2088.0,363.0,363.0,299.0,195.0,105.0,54.0,60.0,165.0,324.0,319.0,286.0,261.0,234.0,226.0,209.0,77.0,120.0,63.0,68.0,85.0,71.0,67.0,56.0,726.0,599.0,603.0,605.0,495.0,435.0,328.0,156.0,123.0,1220.0,410.0,29.98,10.07,31.6,31.4,31.9,3.01,1353.0,358.0,169.0,189.0,995.0,914.0,568.0,287.0,281.0,346.0,100.0,37.0,63.0,246.0,139.0,107.0,81.0,41.0,40.0,183.0,1170.0,914.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,2256.0,13.0,1.0,3.0,42.0,15.0,360.0,1423.0,1353.0,70.0,600.0,166.0,587.0,18.0,0.0,22.0,3.0,2.0,0.0,25.0,3.01,2.94,3.1,766.0,14.0,125.0,131.0,142.0,84.0,83.0,89.0,69.0,29.0,587.0,41.0,144.0,115.0,106.0,47.0,43.0,56.0,28.0,7.0,0.0633868986968,0.000175578826808
Census Tract 14.03,08031001403,8031001403.0,2218.0,678.0,1337.0,75.0,17.0,47.0,3.0,7.0,54.0,30.57,60.28,3.38,0.77,2.12,0.14,0.32,2.43,1289.0,1044.0,245.0,1195.0,1023.0,132.0,90.0,73.0,56.0,77.0,28.0,33.0,174.0,310.0,252.0,162.0,141.0,138.0,161.0,132.0,37.0,55.0,37.0,36.0,38.0,23.0,23.0,10.0,222.0,206.0,545.0,414.0,279.0,293.0,165.0,61.0,33.0,351.0,167.0,15.83,7.53,32.4,32.5,32.4,2.09,1044.0,434.0,252.0,182.0,610.0,409.0,240.0,88.0,152.0,169.0,71.0,29.0,42.0,98.0,40.0,58.0,201.0,117.0,84.0,255.0,789.0,409.0,3.04,41.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,1540.0,516.0,17.0,4.0,1.0,6.0,8.0,126.0,1289.0,1044.0,245.0,364.0,86.0,594.0,186.0,5.0,25.0,7.0,0.0,0.0,22.0,2.09,2.18,2.02,450.0,11.0,75.0,87.0,92.0,56.0,41.0,55.0,26.0,7.0,594.0,96.0,216.0,100.0,91.0,35.0,21.0,24.0,10.0,1.0,0.082277830845,0.000305341341544
